"spc.k_D_z[1,6]",spc.log_e_KAP,"spc.b_z[1,6]",weight,loss
0.17272981086755101,2.555748540321541,5.162529624676273,0.003717469095298403,0.004525477182824908
2.1589974829266887,0.25385777769674167,1.6435644052432248,0.003318819423439208,0.004824492324901094
1.9989847138706254,12.91387878163037,6.894337192595193,2.3439097289664486e-7,0.004521348727379694
1.8621760887501129,2.4277385434367105,2.9952923452313174,0.009225933704130196,0.004771688969376745
1.9508493839514087,2.233548689973861,11.983851718426772,1.848155694055145e-7,0.004263330772586034
0.377619792673915,4.931180875344019,6.105047689230406,0.0020565743603283664,0.004862043357720534
0.6531803214934792,11.936248518648375,3.6313753280173344,2.44585283900066e-5,0.004426550298856553
1.1775069708466528,6.305473250482114,0.36868293677332165,0.0075488673410333326,0.004523280004774791
0.5288986578135431,7.8989164323048335,2.1597384140376756,0.0030813705376451514,0.0041734116099244635
0.887768451563476,3.9987720195011747,5.478577505805568,0.0053472868126669655,0.004081113519252942
1.8359830527869008,0.21931728409521134,5.266194827273386,0.0018819923732857186,0.004836806940628258
0.805269716743771,19.374962275266263,9.269292695308046,7.507540278944522e-15,0.0045310452265068125
1.2568849615701156,13.99291887691067,25.51373772764234,0.0,0.004173639429249979
0.51275428225075,8.99830294292229,0.5018664649638294,0.000973842515402604,0.003942853606005728
0.9195106406271405,7.356162904943512,8.632935197423507,4.701719206082526e-5,0.004356902159898876
2.0525354946561656,0.5325532382809248,5.977500625824242,0.000883274504066005,0.0045611658752878655
1.3042998394913716,11.303610411044321,3.565896309201602,7.07619741474404e-5,0.00427853831551578
2.0292694567250336,9.174480673160263,4.83949909909085,0.0002246308370731749,0.00466273064935294
1.547121086371403,11.74503565339354,9.64980374651858,6.08042591483724e-8,0.004577530518148191
0.6809353312866718,2.0930992239033657,0.6626559600178265,0.011421776653851147,0.004724397651027981
1.1926812899017023,10.668613737539534,0.37428143640679545,0.00018169946377555015,0.004931902227512888
1.575679618046216,16.72278117999409,5.052315938217043,8.66447021882265e-10,0.004947987687577582
0.32723525710081536,8.740726773253954,0.14950958391838975,0.0009047821480094021,0.004480992494766864
1.4448517761555655,1.9164769002636723,9.067505381571781,7.596710914013337e-5,0.003705859516258983
0.4068050745506676,1.7763238535000605,3.4962378247487726,0.008416810927601142,0.004720128041344422
0.6880799214300565,11.335988400763908,8.565212211020146,6.660934439337306e-7,0.004040838614802405
0.41159422995356987,11.988354426195233,5.827550514800906,4.746718234147847e-6,0.004130851107602744
2.3468291704626933,27.45222747807798,2.852762569996903,0.0,0.0044542452781405235
