"spc.k_D_z[1,2]",spc.log_e_M,"spc.b_z[1,2]",weight,loss
1.8538982799346109,6.699984048776107,3.8575070783625316,0.003276645813163297,0.004544320319589819
0.16074922285897056,2.942072850481071,2.7454802886950818,0.008841502170073276,0.00471476532764174
0.7680322515716707,4.675738743037128,4.344065278195985,0.008138194214242417,0.003928584567447539
0.3490762800001345,3.0163127643996734,4.62519213099632,0.006101582778518269,0.004688418684164434
0.5597128778017392,3.7876138986352506,6.315360286072398,0.0022850511502282987,0.0045314487920664155
0.8561613778315655,5.996554322476478,1.2001306205808069,0.009144034345179658,0.004109224497347049
1.8703668130303224,26.94422974927574,11.664072168561987,0.0,0.0017216601799397299
0.8527114779742775,15.406543878160125,10.830741857801037,8.800511873970984e-12,0.004701361153295857
1.8752109593507715,10.842112935125,7.404361796625178,3.433511245708932e-6,0.004471813692351636
0.383968368887618,1.6258697012952075,6.697987007469839,0.0010506578668883976,0.0043410522525929585
1.1487583027717445,9.822075401071396,6.743500822942542,4.8628151737407804e-5,0.004704638388685237
0.5554606163715232,0.25473499211609996,4.841155001665456,0.003131132320796582,0.004671915100577274
1.3414659887304372,7.4543233779695415,16.896805418959957,6.125429619771779e-14,0.004412152163693217
0.21803611633072054,4.66534550575808,8.182234777042483,0.00016038276822865504,0.004662021505203851
0.5203179312814966,0.34853335766777604,1.85770361215131,0.007000094118633523,0.004568217127487559
1.2087606764307557,21.347069576098768,0.515859538800544,6.678762445046875e-15,0.004545828522870115
0.17953493814377033,7.414253493442497,3.515270991829068,0.002323171012479593,0.0047670266222977304
0.6477378448464923,16.254880071497606,17.440355576309173,0.0,0.0038949020348260322
1.9462236644766124,18.966347452906092,10.96846107617744,4.992918274662418e-16,0.004564006071490309
0.7468254079463842,15.410780448544246,8.993721382348314,2.2772843380822783e-10,0.004637216740648369
0.02118878396194812,9.212262375685679,0.42302097859956644,0.00041478803353081384,0.004738876468328919
1.8842037004451513,3.6147519062731277,5.326098413250563,0.003431214357560516,0.004924811701730808
1.0336362946900186,14.900929461620677,5.62659962720001,4.2062651035960045e-8,0.004523814814878642
1.2184684879952343,2.7278278573663317,10.023160237614988,1.6066814374348642e-5,0.00479733955700966
0.24314695936064773,5.625896006762595,17.57810694515773,1.0376458979044551e-14,0.004358200375005054
2.349018168016739,6.787599557070381,7.297595845979754,7.250058936324033e-5,0.0044667688360721
0.831385534925738,2.8195550079932725,8.58939631022944,0.00017160324816353434,0.004368517627092573
1.8045986794374298,23.87951161002761,4.103270054431863,0.0,0.004882451135842663
0.6499144864319968,15.84263895426743,2.556175686617416,2.1950723538458865e-8,0.00459168508944915
1.470346036340305,5.633578738147483,14.937118564038192,7.63526400051874e-11,0.004782074138372395
0.15986126715619106,7.607333901237669,6.969877513173393,0.0001635346495726264,0.004862612601405477
1.4472620395490905,6.694509111947449,2.8295869280893173,0.006289064728113541,0.004947715684045168
1.1886745837183437,14.545701053127935,0.7963669323072969,3.379996946025299e-7,0.0040844338574131285
0.12226168715416458,15.691562854545571,0.6985346528389191,1.550813483631096e-8,0.00469464321470807
0.7276694809446361,8.670880026289675,6.501933398444104,0.000192757543174519,0.004456346159963705
0.6752293853719078,5.7986779726547155,11.708759116495953,3.0114007817983973e-7,0.004581635765833351
