treatment_bd,pretreatment_24D,load_mean,load_var,load_skew,load_kurt,load_cv,strain
uninfected,0.3,0.0,0.0,NaN,NaN,NaN,BdBE3
BE3,0.3,57849.333333333336,2.3635418415238094e9,1.0841005516515054,1.1101624613057295,0.8403946694731732,BdBE3
uninfected,0.03,0.0,0.0,NaN,NaN,NaN,BdBE3
BE3,0.03,43866.933333333334,1.796686835352381e9,0.686307697519907,-1.0723663148958889,0.9662709390975021,BdBE3
uninfected,0.0,0.0,0.0,NaN,NaN,NaN,BdBE3
BE3,0.0,38905.86666666667,1.9970425391238096e9,0.7701625046135178,-1.1525556471059815,1.1486257916399905,BdBE3
