"spc.KD[1,2]","spc.E[1,2]","spc.B[1,2]",weight,loss
0.878232464557017,357.7336064991956,0.6028802674223971,0.004326330217323237,0.11162824859665452
0.6580752637349294,319.40829159629374,0.659085737929259,0.024399738253542018,0.11184865807490497
0.6290003838549919,322.51237542763073,0.6982028028003741,0.019917117661078378,0.1109202352196216
0.911578841921612,307.05179660577585,0.7418667949846596,0.014460521694754189,0.11181352109218862
0.8656748311386231,342.40475574959225,0.6984049554843081,0.005497080860555308,0.11171886521451857
0.41093141783771836,332.479870390117,0.6380144214862948,0.0301688545042618,0.11106040235280772
0.436535214090883,421.3465730803699,0.5484271383358911,0.0016939521480679573,0.11232708069278481
0.8035811134659038,354.88944360892947,0.6000195990759593,0.01301100762776093,0.11091710581228409
0.8654715699664157,312.0768800933819,0.7791099239004703,0.02316281766989025,0.11200786715452486
0.7693111231146802,402.7923551872864,0.5659121660116283,0.00876717325546568,0.1111293330373086
0.9567895058307504,391.53373565562265,0.619793803780137,0.0031622732926646618,0.11173939276209618
0.6648250699002871,325.24609979947434,0.6735510824768766,0.01158939184173089,0.1120165601681956
0.46574670695583054,373.35123859043756,0.6003766543393776,0.006068534458669564,0.11164612709838492
0.32806333030742224,407.8408205921047,0.5360901018948497,0.008703927923309637,0.1113426490811141
0.3672016775648739,358.9253658771225,0.565835669562167,0.0013201231857956426,0.11236955298772061
0.8668817997398474,292.416036331554,0.7201129249625957,0.010297456033404024,0.11177992152877736
0.9352252796056914,323.70214560873416,0.7416001134599789,0.014246169521196013,0.11164048510914523
0.8240453911143452,322.0291495038622,0.7391623196598186,0.008572622537269781,0.11194809521287898
0.9063101830080355,329.8347108587614,0.7305640388552692,0.004021560050681887,0.11197504632186572
0.9817117993244107,342.5344480413206,0.6147885145202749,0.008285758443279279,0.11170401176928309
0.6102761156299501,336.43949035085257,0.6937728009799905,0.00736901781593148,0.11168425107851096
0.8389980901624128,324.4605593091591,0.6510094971124248,0.021213794228677682,0.11125059052247023
0.4026185092104442,365.45699532005005,0.6293701177279173,0.009944324352124508,0.11109959735735135
0.3573767556875491,352.44578866860655,0.5978922160058081,0.01386803999320269,0.11120391672136631
0.9863621760462062,346.4536729837505,0.6233879412685097,0.03972728545745703,0.11077629471148015
0.9183200245548602,321.58532650450593,0.727813529543138,0.0040482366443859545,0.1120023552305235
0.9500137017328435,329.4644764066107,0.7643965961706668,8.954892516913971e-5,0.1124244660707257
0.9255046732224995,317.82789993433175,0.7077877452776413,0.008018980998704057,0.11167351553808168
0.9650146569786298,399.8569399475689,0.6126463191095441,0.0009036382137697757,0.11205904926813917
0.8310410776137754,307.64791918566425,0.6430630345456434,0.0050425686138872855,0.11224393935307997
