t_since_mm,wetmass_mg,treatment_id,y_wetmass_mg,pretreatment_24D,num_sample
16.0,134.72991506574064,1,0.8158752233966502,0.0,1
26.0,251.34530726004238,1,0.8722033611575011,0.0,1
16.0,226.82598865665835,1,1.373575453358799,0.0,1
26.0,362.1432183711113,1,1.2566876052986584,0.0,1
16.0,187.03079771828115,1,1.1325902921856599,0.0,1
26.0,315.02201639520564,1,1.0931704456062954,0.0,1
16.0,120.24468359243829,1,0.7281579450292872,0.0,1
26.0,233.16286265442722,1,0.8091077359717478,0.0,1
16.0,203.26350944525606,1,1.230889673582262,0.0,1
26.0,334.3477069546561,1,1.1602332941089861,0.0,1
16.0,147.87126181185016,1,0.8954544260331497,0.0,1
26.0,267.59585507837915,1,0.92859503435926,0.0,1
16.0,147.86830220178066,1,0.8954365037140758,0.0,1
26.0,267.5929155489684,1,0.928584833781178,0.0,1
16.0,128.7111583967332,1,0.7794278283285211,0.0,1
26.0,243.82858082161658,1,0.8461192693717194,0.0,1
16.0,196.35859261404568,1,1.1890760157954952,0.0,1
26.0,326.1488981149001,1,1.1317822810167681,0.0,1
16.0,158.45020355112996,1,0.9595166385760995,0.0,1
26.0,280.540896835402,1,0.9735161393278846,0.0,1
16.0,176.4883598703497,2,1.0687491338940553,0.03,1
26.0,302.4037760625129,2,1.0493833872758955,0.03,1
16.0,214.88197662839485,2,1.3012468730501359,0.03,1
26.0,176.74737567100405,2,0.6133381077074312,0.03,1
16.0,176.5249987940956,2,1.0689710058523478,0.03,1
26.0,302.44641206111527,2,1.0495313401527273,0.03,1
16.0,186.03015505922696,2,1.1265307652231609,0.03,1
26.0,313.84830556335083,2,1.089097504902805,0.03,1
16.0,157.2378838078181,2,0.9521752723997747,0.03,1
26.0,279.08628464922543,2,0.9684684316471868,0.03,1
16.0,168.92213298000874,2,1.0229308235996077,0.03,1
26.0,293.2742615227858,2,1.0177026952666037,0.03,1
16.0,229.81744382758373,2,1.391690614751641,0.03,1
26.0,365.67711897092744,2,1.268950734516214,0.03,1
16.0,227.86284651372344,2,1.3798542863510914,0.03,1
26.0,363.38573319924507,2,1.260999305489922,0.03,1
16.0,210.51003497438455,2,1.2747719890431037,0.03,1
26.0,342.94853660498444,2,1.1900793756274217,0.03,1
16.0,220.0661446649202,2,1.3326403037730905,0.03,1
26.0,354.223893208897,2,1.2292064396469908,0.03,1
16.0,134.494076023811,3,0.8144470681801483,0.3,1
26.0,248.99606413431619,3,0.8640511590226324,0.3,1
16.0,215.41524005102863,3,1.3044761218317322,0.3,1
26.0,203.04326741126155,3,0.7045885289327513,0.3,1
16.0,206.46869015041818,3,1.2502990788548387,0.3,1
26.0,184.06725859266496,3,0.6387391249659181,0.3,1
16.0,182.83347484213982,3,1.1071728358058446,0.3,1
26.0,224.06836070674714,3,0.7775485425525793,0.3,1
16.0,129.89796734700386,3,0.7866147104471564,0.3,1
26.0,282.3000845217482,3,0.9796207665821766,0.3,1
16.0,116.59926081103589,3,0.7060825943196792,0.3,1
26.0,265.11637761775114,3,0.9199909008719515,0.3,1
16.0,212.712612203429,3,1.2881099933602458,0.3,1
26.0,205.0849620452452,3,0.7116734947975619,0.3,1
16.0,152.40861001078542,3,0.9229309517448179,0.3,1
26.0,240.13658253981163,3,0.833307519091272,0.3,1
16.0,243.96403841223142,3,1.4773572316378722,0.3,1
26.0,146.45162960324978,3,0.5082076326763973,0.3,1
16.0,114.46162160631232,3,0.6931378309919187,0.3,1
26.0,258.69557670801544,3,0.8977098239111606,0.3,1
16.0,204.74021501780018,1,1.2457793443961405,0.0,2
26.0,336.77327534120565,1,1.1865490253537845,0.0,2
16.0,177.24137582369076,1,1.078457619839418,0.0,2
26.0,302.9825180073643,1,1.0674944770384125,0.0,2
16.0,183.9653597393287,1,1.11937093173286,0.0,2
26.0,311.2920938056997,1,1.0967715004442298,0.0,2
16.0,133.41053867092413,1,0.8117608618636565,0.0,2
26.0,247.87046433847027,1,0.8733188747736013,0.0,2
16.0,132.02775539803602,1,0.8033470637293196,0.0,2
26.0,246.09456818043273,1,0.8670618822812068,0.0,2
16.0,176.17562609507462,1,1.0719728703822078,0.0,2
26.0,301.6633093228184,1,1.0628465257504123,0.0,2
16.0,123.8011908623424,1,0.7532910247971638,0.0,2
26.0,207.113526902969,1,0.7297204721346073,0.0,2
16.0,179.22703164652174,1,1.090539706443399,0.0,2
26.0,305.44048201209404,1,1.0761545905560657,0.0,2
16.0,177.5458960205816,1,1.0803105287620987,0.0,2
26.0,303.3582085187423,1,1.0688181426697145,0.0,2
16.0,155.33595073428322,1,0.9451700480537365,0.0,2
26.0,275.6699663719204,1,0.9712645089979653,0.0,2
16.0,163.60677668323504,2,0.9954954036630582,0.03,2
26.0,286.03616175332036,2,1.0077875941921963,0.03,2
16.0,181.7078324142017,2,1.1056345931693365,0.03,2
26.0,308.5118547861171,2,1.086975919439193,0.03,2
16.0,191.8632986705499,2,1.1674273879740633,0.03,2
26.0,321.01552010563773,2,1.1310299254561362,0.03,2
16.0,144.97112372260494,2,0.8821033593806521,0.03,2
26.0,198.06209588164737,2,0.697829679596141,0.03,2
16.0,196.17699929044306,2,1.1936748896175706,0.03,2
26.0,326.30749395999965,2,1.1496750700648615,0.03,2
16.0,148.5147290868225,2,0.9036650753681527,0.03,2
26.0,196.5330911898161,2,0.6924425566867722,0.03,2
16.0,207.40733656693072,2,1.2620079340487,0.03,2
26.0,340.0341215270448,2,1.1980379235144714,0.03,2
16.0,131.00348799348455,2,0.7971147210719793,0.03,2
26.0,244.78817787844918,2,0.8624590938385084,0.03,2
16.0,136.6764636575427,2,0.8316329807257127,0.03,2
26.0,252.04974450914696,2,0.8880436797872194,0.03,2
16.0,167.17466993797754,2,1.017204903769728,0.03,2
26.0,290.4886448695568,2,1.0234749716915597,0.03,2
16.0,204.77198062821597,3,1.2459726280718204,0.3,2
26.0,223.3219454100526,3,0.7868273882419531,0.3,2
16.0,167.44243401382346,3,1.0188341633406002,0.3,2
26.0,226.738965960802,3,0.7988665335690214,0.3,2
16.0,208.58953908400565,3,1.2692012618301376,0.3,2
26.0,203.49530501248358,3,0.7169724366697401,0.3,2
16.0,168.40992463121327,3,1.0247210372355822,0.3,2
26.0,228.05180961910216,3,0.8034920590404819,0.3,2
16.0,210.95270558906097,3,1.2835803813358526,0.3,2
26.0,188.50982983802916,3,0.6641743013524491,0.3,2
