C_W_1,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
0.3,Inf,Inf,NaN,Inf,Inf,32
0.0,31.3,59.4,28.1,231.11563666691796,351.3074451203909,33
0.03,Inf,Inf,NaN,Inf,Inf,33
0.3,Inf,Inf,NaN,Inf,Inf,33
0.0,31.7,59.9,28.2,230.29109216879456,351.23210413900057,34
0.03,Inf,Inf,NaN,Inf,Inf,34
0.3,Inf,Inf,NaN,Inf,Inf,34
0.0,31.3,59.7,28.4,225.6085062173253,344.74536044888293,35
0.03,Inf,Inf,NaN,Inf,Inf,35
0.3,Inf,Inf,NaN,Inf,Inf,35
0.0,32.0,64.6,32.6,220.34909530701788,354.0862461440111,36
0.03,Inf,Inf,NaN,Inf,Inf,36
0.3,Inf,Inf,NaN,Inf,Inf,36
0.0,31.3,61.4,30.1,231.36421144655247,366.4305672884049,37
0.03,Inf,Inf,NaN,Inf,Inf,37
0.3,Inf,Inf,NaN,Inf,Inf,37
0.0,31.3,60.7,29.4,227.16659638417622,350.0704503244042,38
0.03,Inf,Inf,NaN,Inf,Inf,38
0.3,Inf,Inf,NaN,Inf,Inf,38
0.0,31.2,59.1,27.9,224.54476444275974,338.6472492495638,39
0.03,Inf,Inf,NaN,Inf,Inf,39
0.3,Inf,Inf,NaN,Inf,Inf,39
0.0,32.0,58.8,26.8,221.883546259992,314.9382809084857,40
0.03,Inf,Inf,NaN,Inf,Inf,40
0.3,Inf,Inf,NaN,Inf,Inf,40
0.0,30.9,60.1,29.2,226.24948759108253,358.47151512835393,41
0.03,Inf,Inf,NaN,Inf,Inf,41
0.3,Inf,Inf,NaN,Inf,Inf,41
0.0,31.5,60.9,29.4,226.64328401815357,349.67330748540536,42
0.03,Inf,Inf,NaN,Inf,Inf,42
0.3,Inf,Inf,NaN,Inf,Inf,42
0.0,31.0,61.4,30.4,219.43136116170075,349.68460249365364,43
0.03,Inf,Inf,NaN,Inf,Inf,43
0.3,Inf,Inf,NaN,Inf,Inf,43
0.0,32.0,61.3,29.3,229.58419914778946,354.07114564854436,44
0.03,Inf,Inf,NaN,Inf,Inf,44
0.3,Inf,Inf,NaN,Inf,Inf,44
0.0,31.1,59.9,28.8,204.08294075498867,302.95152746551247,45
0.03,Inf,Inf,NaN,Inf,Inf,45
0.3,Inf,Inf,NaN,Inf,Inf,45
0.0,31.3,57.4,26.1,225.12665481616892,319.52029666309994,46
0.03,Inf,Inf,NaN,Inf,Inf,46
0.3,Inf,Inf,NaN,Inf,Inf,46
0.0,31.6,60.5,28.9,220.81008771377728,331.40128808141475,47
0.03,Inf,Inf,NaN,Inf,Inf,47
0.3,Inf,Inf,NaN,Inf,Inf,47
0.0,31.2,62.0,30.8,227.4742949110968,366.56847997479707,48
0.03,Inf,Inf,NaN,Inf,Inf,48
0.3,Inf,Inf,NaN,Inf,Inf,48
0.0,31.0,60.5,29.5,228.9844785603347,363.79424651720836,49
0.03,Inf,Inf,NaN,Inf,Inf,49
0.3,Inf,Inf,NaN,Inf,Inf,49
0.0,31.4,60.1,28.7,212.17404838203802,316.0611352147234,50
0.03,Inf,Inf,NaN,Inf,Inf,50
0.3,Inf,Inf,NaN,Inf,Inf,50
0.0,31.2,60.4,29.2,223.17898554185518,345.2175819429423,51
0.03,Inf,Inf,NaN,Inf,Inf,51
0.3,Inf,Inf,NaN,Inf,Inf,51
0.0,31.8,60.2,28.4,222.46837118367006,333.2066856520495,52
0.03,Inf,Inf,NaN,Inf,Inf,52
0.3,Inf,Inf,NaN,Inf,Inf,52
0.0,31.3,63.1,31.8,214.2140084666493,343.696201539219,53
0.03,Inf,Inf,NaN,Inf,Inf,53
0.3,Inf,Inf,NaN,Inf,Inf,53
0.0,31.4,58.5,27.1,227.18800814931404,337.4378557704351,54
0.03,Inf,Inf,NaN,Inf,Inf,54
0.3,Inf,Inf,NaN,Inf,Inf,54
0.0,31.4,60.7,29.3,219.0326345629391,337.1119323444715,55
0.03,Inf,Inf,NaN,Inf,Inf,55
0.3,Inf,Inf,NaN,Inf,Inf,55
0.0,31.4,61.2,29.8,229.6476607473944,361.95369231575927,56
0.03,Inf,Inf,NaN,Inf,Inf,56
0.3,Inf,Inf,NaN,Inf,Inf,56
0.0,31.8,61.9,30.1,231.1688112265816,366.6817311434832,57
0.03,Inf,Inf,NaN,Inf,Inf,57
0.3,Inf,Inf,NaN,Inf,Inf,57
0.0,31.4,59.4,28.0,224.83175202974562,338.0520077834906,58
0.03,Inf,Inf,NaN,Inf,Inf,58
0.3,Inf,Inf,NaN,Inf,Inf,58
0.0,31.2,63.4,32.2,230.6187727707208,386.5716086490262,59
0.03,Inf,Inf,NaN,Inf,Inf,59
0.3,Inf,Inf,NaN,Inf,Inf,59
0.0,31.4,61.5,30.1,222.08588509503346,346.8371153089844,60
0.03,Inf,Inf,NaN,Inf,Inf,60
0.3,Inf,Inf,NaN,Inf,Inf,60
0.0,31.2,62.5,31.3,226.74816628594817,366.85578560829856,61
0.03,Inf,Inf,NaN,Inf,Inf,61
0.3,Inf,Inf,NaN,Inf,Inf,61
0.0,30.7,62.3,31.6,225.116953861111,372.373396092759,62
0.03,Inf,Inf,NaN,Inf,Inf,62
0.3,Inf,Inf,NaN,Inf,Inf,62
0.0,31.1,61.2,30.1,226.89181345730918,359.2653503033389,63
0.03,Inf,Inf,NaN,Inf,Inf,63
0.3,Inf,Inf,NaN,Inf,Inf,63
0.0,31.2,62.5,31.3,221.98025386880187,359.6646197923985,64
0.03,Inf,Inf,NaN,Inf,Inf,64
0.3,Inf,Inf,NaN,Inf,Inf,64
0.0,31.5,60.9,29.4,218.56126609155166,329.8836394116208,65
0.03,Inf,Inf,NaN,Inf,Inf,65
0.3,Inf,Inf,NaN,Inf,Inf,65
0.0,31.5,60.5,29.0,227.1898932332493,351.5663535265653,66
0.03,Inf,Inf,NaN,Inf,Inf,66
0.3,Inf,Inf,NaN,Inf,Inf,66
0.0,31.3,60.6,29.3,225.63683813264106,353.48488009984277,67
0.03,Inf,Inf,NaN,Inf,Inf,67
0.3,Inf,Inf,NaN,Inf,Inf,67
0.0,32.0,60.2,28.2,228.03352886847725,342.46658060159245,68
0.03,Inf,Inf,NaN,Inf,Inf,68
0.3,Inf,Inf,NaN,Inf,Inf,68
0.0,31.5,60.6,29.1,211.50907077301773,316.9941275959486,69
0.03,Inf,Inf,NaN,Inf,Inf,69
0.3,Inf,Inf,NaN,Inf,Inf,69
0.0,31.5,62.0,30.5,225.28454710349683,355.2347374535334,70
0.03,Inf,Inf,NaN,Inf,Inf,70
0.3,Inf,Inf,NaN,Inf,Inf,70
0.0,31.1,66.0,34.9,224.08556580789985,388.92524597918924,71
0.03,Inf,Inf,NaN,Inf,Inf,71
0.3,Inf,Inf,NaN,Inf,Inf,71
0.0,31.1,62.1,31.0,228.7652816779745,373.6025266203746,72
0.03,Inf,Inf,NaN,Inf,Inf,72
0.3,Inf,Inf,NaN,Inf,Inf,72
0.0,30.9,58.1,27.2,225.33545378883977,338.0880554070224,73
0.03,Inf,Inf,NaN,Inf,Inf,73
0.3,Inf,Inf,NaN,Inf,Inf,73
0.0,31.6,60.2,28.6,220.8080704624353,328.62806305156374,74
0.03,Inf,Inf,NaN,Inf,Inf,74
0.3,Inf,Inf,NaN,Inf,Inf,74
0.0,32.7,61.3,28.6,222.6860838150525,323.81151879396856,75
0.03,Inf,Inf,NaN,Inf,Inf,75
0.3,Inf,Inf,NaN,Inf,Inf,75
0.0,31.7,62.1,30.4,222.90372672350463,345.748018898317,76
0.03,Inf,Inf,NaN,Inf,Inf,76
0.3,Inf,Inf,NaN,Inf,Inf,76
0.0,31.6,59.2,27.6,220.02336835692032,322.06514335447457,77
0.03,Inf,Inf,NaN,Inf,Inf,77
0.3,Inf,Inf,NaN,Inf,Inf,77
0.0,31.3,59.6,28.3,223.99296477545704,337.45748824644477,78
0.03,Inf,Inf,NaN,Inf,Inf,78
0.3,Inf,Inf,NaN,Inf,Inf,78
0.0,30.8,58.0,27.2,220.8591655004765,331.16042558928723,79
0.03,Inf,Inf,NaN,Inf,Inf,79
0.3,Inf,Inf,NaN,Inf,Inf,79
0.0,31.3,60.6,29.3,225.1355720860874,352.51551193710566,80
0.03,Inf,Inf,NaN,Inf,Inf,80
0.3,Inf,Inf,NaN,Inf,Inf,80
0.0,31.0,59.5,28.5,221.62540300386712,337.1876819555205,81
0.03,Inf,Inf,NaN,Inf,Inf,81
0.3,Inf,Inf,NaN,Inf,Inf,81
0.0,31.8,61.5,29.7,218.1572920715069,335.5020385437433,82
0.03,Inf,Inf,NaN,Inf,Inf,82
0.3,Inf,Inf,NaN,Inf,Inf,82
0.0,31.3,60.0,28.7,223.8840943952301,343.42668319446835,83
0.03,Inf,Inf,NaN,Inf,Inf,83
0.3,Inf,Inf,NaN,Inf,Inf,83
0.0,30.8,60.9,30.1,230.01896359322626,373.86142197196006,84
0.03,Inf,Inf,NaN,Inf,Inf,84
0.3,Inf,Inf,NaN,Inf,Inf,84
0.0,31.1,63.0,31.9,221.07373410228584,365.89059779985683,85
0.03,Inf,Inf,NaN,Inf,Inf,85
0.3,Inf,Inf,NaN,Inf,Inf,85
0.0,31.9,58.5,26.6,217.70812304211685,305.87784220626065,86
0.03,Inf,Inf,NaN,Inf,Inf,86
0.3,Inf,Inf,NaN,Inf,Inf,86
0.0,31.0,61.6,30.6,227.63665852424,369.9968391059223,87
0.03,Inf,Inf,NaN,Inf,Inf,87
0.3,Inf,Inf,NaN,Inf,Inf,87
0.0,32.0,60.4,28.4,227.00554365693878,341.57286278595404,88
0.03,Inf,Inf,NaN,Inf,Inf,88
0.3,Inf,Inf,NaN,Inf,Inf,88
0.0,31.2,63.4,32.2,212.13782536247564,341.1375832936472,89
0.03,Inf,Inf,NaN,Inf,Inf,89
0.3,Inf,Inf,NaN,Inf,Inf,89
0.0,31.6,62.1,30.5,223.73786270740865,349.7298221605111,90
0.03,Inf,Inf,NaN,Inf,Inf,90
0.3,Inf,Inf,NaN,Inf,Inf,90
0.0,31.5,60.3,28.8,223.67110072340756,339.7769860484406,91
0.03,Inf,Inf,NaN,Inf,Inf,91
0.3,Inf,Inf,NaN,Inf,Inf,91
0.0,31.5,60.4,28.9,221.90879443841203,338.8589600251425,92
0.03,Inf,Inf,NaN,Inf,Inf,92
0.3,Inf,Inf,NaN,Inf,Inf,92
0.0,31.1,61.9,30.8,223.36487879153887,360.92378875797414,93
0.03,Inf,Inf,NaN,Inf,Inf,93
0.3,Inf,Inf,NaN,Inf,Inf,93
0.0,32.1,61.6,29.5,223.61868772731532,339.12456488814763,94
0.03,Inf,Inf,NaN,Inf,Inf,94
0.3,Inf,Inf,NaN,Inf,Inf,94
0.0,31.5,62.3,30.8,223.4026255318091,355.95044585081615,95
0.03,Inf,Inf,NaN,Inf,Inf,95
0.3,Inf,Inf,NaN,Inf,Inf,95
0.0,31.6,61.2,29.6,218.494797795098,333.5293910210422,96
0.03,Inf,Inf,NaN,Inf,Inf,96
0.3,Inf,Inf,NaN,Inf,Inf,96
