t_since_mm,wetmass_mg,treatment_id,y_wetmass_mg,pretreatment_24D,num_sample
16.0,127.182599938129,1,0.7067354603504216,0.0,1
26.0,238.13696874854625,1,0.9608844305953939,0.0,1
16.0,169.16700271660395,1,0.9400367628840826,0.0,1
26.0,289.55367392678596,1,1.1683512163612462,0.0,1
16.0,156.49194769867424,1,0.8696033007011954,0.0,1
26.0,274.21892350319627,1,1.106475384958301,0.0,1
16.0,257.7286654582289,1,1.4321612163671007,0.0,1
26.0,140.1824480453541,1,0.5656372149078628,0.0,1
16.0,192.09312108790357,1,1.0674339133517636,0.0,1
26.0,316.9698157964561,1,1.2789755516251144,0.0,1
16.0,172.68083724885366,1,0.9595626372328756,0.0,1
26.0,293.7796701033734,1,1.1854031421969458,0.0,1
16.0,170.78466504361782,1,0.9490258803414223,0.0,1
26.0,291.49791864716735,1,1.1761962581911622,0.0,1
16.0,148.25414156578,1,0.8238269939387864,0.0,1
26.0,264.1758235671035,1,1.0659514024190968,0.0,1
16.0,171.15687908623784,1,0.9510942203729039,0.0,1
26.0,200.46129006281998,1,0.8088627883805073,0.0,1
16.0,234.03872469547966,1,1.3005196144594453,0.0,1
26.0,169.3336698051919,1,0.6832626103643706,0.0,1
16.0,239.0199088049259,2,1.3281993398809437,0.03,1
26.0,165.75802282456115,2,0.6688348483455241,0.03,1
16.0,258.02279393820663,2,1.4337956461302945,0.03,1
26.0,138.16731288393498,2,0.5575061296239245,0.03,1
16.0,242.06982637159396,2,1.3451472942124212,0.03,1
26.0,163.33253651568634,2,0.6590479931458971,0.03,1
16.0,249.09189019376606,2,1.3841678953826055,0.03,1
26.0,126.77587234812135,2,0.5115415827900621,0.03,1
16.0,229.49926097543337,2,1.2752944658660712,0.03,1
26.0,172.2923382403072,2,0.6952008593877645,0.03,1
16.0,131.22807193382326,2,0.7292155678069651,0.03,1
26.0,243.18089695874988,2,0.9812367182376507,0.03,1
16.0,236.83647403990201,2,1.316066306159704,0.03,1
