pth.gamma,pth.eta,pth.sigma1,spc.Chi,spc.E_P[2],spc.B_P[2],weight,loss
0.20938980423622192,95.40333220377661,0.004096095610767226,1.3075636929181467,16234.49830199704,2.598531565661662,0.005102040816326529,0.18186513448653388
0.07691647806057639,95.16172546776436,0.004479874616477074,0.16954492275396882,17539.977540878415,2.195144296776904,0.005102040816326529,0.3341462138933324
0.02347900634640661,94.88546764212406,0.0029429411792940012,1.3437771300218062,16455.520460249594,3.161476515499319,0.005102040816326529,0.3606315668810509
0.0007372258233653561,102.33524319039469,0.001296878762243582,0.36203878589355754,17661.742182129354,2.2077942803411497,0.005102040816326529,0.18203189618094295
0.12506457539485172,109.177631337554,0.004036358237162358,1.737124854429049,16954.159281201268,2.010792036269187,0.005102040816326529,0.41394270317997733
0.021509231229525805,90.77277569692828,0.002060545223044334,0.7608504292660204,17257.180575565017,2.5793541077323887,0.005102040816326529,0.02455079885175335
0.16177855540716443,112.14577423592323,0.012749029975549045,0.578209731177393,17554.21647105748,3.1145442695100845,0.005102040816326529,0.5153132291073403
0.12633442400708728,106.3923260328889,0.010190315378739063,0.6566467436347456,16570.944928364126,2.0953568904330973,0.005102040816326529,0.4263755513058229
0.1025463840154968,107.54180324314129,0.003192058969103173,0.12474727923502649,17708.649020145604,2.4767359109148988,0.005102040816326529,0.2288668252481328
0.06440694801453214,110.85259109010698,0.004263938779247677,1.02743855625932,16866.88756801956,2.515847706257764,0.005102040816326529,0.4872641656356229
0.11705567824047224,105.72077745070607,0.012708152657457589,1.0073708557310153,17189.742273270633,3.9235148557621704,0.005102040816326529,0.5093566969899868
0.06550018135656924,110.69922789259054,0.0093031152343331,0.5883956326698208,17833.75149043686,2.6988860796861753,0.005102040816326529,0.4611143225451503
0.15780138993737525,104.5569733769751,0.0015845838545350444,0.2128705536503709,16606.450589422777,2.624890854855655,0.005102040816326529,0.41788098183534367
0.10949123661855599,93.79059048386965,0.004158384334905084,0.6719124341011389,19174.91856748173,2.53447322996799,0.005102040816326529,0.3171489504924104
0.07985333195056388,116.08534046109924,0.014544421479322354,0.3926344838139372,16922.430004616304,2.2928464186546496,0.005102040816326529,0.5006977170892583
0.12054948692389561,96.13992393574576,0.005535742606352672,0.8463731653078782,19147.400701749215,3.223486770322352,0.005102040816326529,0.3709740573967962
0.09124273543273714,105.9660500133455,0.004402307232807362,1.3890888385169613,18511.55954945319,3.640750294157582,0.005102040816326529,0.5096298924342421
0.04041503345551987,101.75215058391998,0.0023935784042910867,0.6851484875557159,18508.009235955968,2.2022923793763263,0.005102040816326529,0.37190822708568183
0.21685529749066024,117.94434437775332,0.003195847096761341,0.9035056401319501,19411.70983579972,2.0534447718339197,0.005102040816326529,0.22280794388285113
