param,dist
"spc.KD[1,2]","Truncated(Normal{Float64}(μ=1.0, σ=1.0); lower=0.001, upper=1.0)"
"spc.E[1,2]","Truncated(Normal{Float64}(μ=12.5, σ=12.5); lower=0.8, upper=Inf)"
"spc.B[1,2]","Truncated(Normal{Float64}(μ=2.0, σ=20.0); lower=0.5, upper=Inf)"
