t_since_mm,treatment_id,y_wetmass_mg,wetmass_mg,pretreatment_24D,num_sample
16.0,1,1.0,178.363737185697,0.0,1
26.0,1,0.9999999999999998,257.5325210057075,0.0,1
16.0,1,1.0,179.48106309601363,0.0,2
26.0,1,1.0000000000000002,287.1004511595635,0.0,2
16.0,1,1.0,175.15497418098516,0.0,3
26.0,1,1.0,256.89167683360296,0.0,3
16.0,1,1.0,170.22025382220508,0.0,4
26.0,1,1.0000000000000002,247.95224860034608,0.0,4
16.0,1,1.0000000000000002,168.5826388078578,0.0,5
26.0,1,0.9999999999999998,287.8011656935525,0.0,5
16.0,1,1.0,161.8205124870396,0.0,6
26.0,1,1.0,256.49603734464733,0.0,6
16.0,1,1.0,184.5198773000961,0.0,7
26.0,1,1.0,233.7401316556114,0.0,7
16.0,1,1.0,159.06196667882088,0.0,8
26.0,1,0.9999999999999998,260.9465153969502,0.0,8
16.0,1,1.0000000000000002,175.39029634523393,0.0,9
26.0,1,1.0,228.08584992348884,0.0,9
16.0,1,1.0,184.53039702743555,0.0,10
26.0,1,0.9999999999999998,269.4007527085594,0.0,10
16.0,1,0.9999999999999998,230.1608348550996,0.0,11
26.0,1,1.0,252.44720121710048,0.0,11
16.0,1,1.0,177.3017009802498,0.0,12
26.0,1,0.9999999999999998,252.9383969822514,0.0,12
16.0,1,1.0000000000000002,195.40145459298355,0.0,13
26.0,1,0.9999999999999998,289.27654545488394,0.0,13
16.0,1,0.9999999999999998,162.42870229263244,0.0,14
26.0,1,1.0000000000000002,265.52931541274455,0.0,14
16.0,1,1.0,161.43875826103437,0.0,15
26.0,1,1.0,233.9229021694003,0.0,15
16.0,1,1.0000000000000002,201.2283229342987,0.0,16
26.0,1,1.0,229.87025742504153,0.0,16
16.0,1,1.0000000000000002,173.6571538086276,0.0,17
26.0,1,1.0000000000000002,290.0214470720345,0.0,17
16.0,1,1.0,177.06684228348797,0.0,18
26.0,1,1.0,274.39805104590175,0.0,18
16.0,1,1.0,206.0676252158467,0.0,19
26.0,1,1.0,250.5217714822219,0.0,19
16.0,1,1.0000000000000002,184.25522317361137,0.0,20
26.0,1,0.9999999999999997,319.1486673413657,0.0,20
16.0,1,0.9999999999999998,186.41893811967404,0.0,21
26.0,1,1.0,238.61323016361166,0.0,21
16.0,1,1.0000000000000002,164.20592326779317,0.0,22
26.0,1,0.9999999999999998,274.5779887898522,0.0,22
16.0,1,0.9999999999999998,199.57470312191833,0.0,23
26.0,1,1.0,249.9071946020028,0.0,23
16.0,1,1.0000000000000002,158.19513780754534,0.0,24
26.0,1,1.0,267.08862875098566,0.0,24
16.0,1,1.0000000000000004,166.0158171403431,0.0,25
26.0,1,1.0,242.0698745100911,0.0,25
16.0,1,1.0000000000000002,157.07357431961566,0.0,26
26.0,1,1.0,236.7263017841808,0.0,26
16.0,1,1.0,165.46570343066824,0.0,27
26.0,1,0.9999999999999998,227.37513176602283,0.0,27
16.0,1,1.0,190.4380736026409,0.0,28
26.0,1,1.0,295.7836745270625,0.0,28
16.0,1,1.0,165.50993005138588,0.0,29
26.0,1,1.0,266.68376258219894,0.0,29
16.0,1,0.9999999999999998,180.8253640160048,0.0,30
26.0,1,1.0000000000000004,237.48718976489968,0.0,30
16.0,1,1.0,193.2127817732253,0.0,31
26.0,1,0.9999999999999998,267.68075444484055,0.0,31
16.0,1,0.9999999999999998,192.85394951498625,0.0,32
26.0,1,1.0,271.72926730081684,0.0,32
16.0,1,1.0,182.31097758579102,0.0,33
26.0,1,1.0,278.03665175089793,0.0,33
16.0,1,1.0,152.30795382246905,0.0,34
26.0,1,0.9999999999999998,253.22056138139487,0.0,34
16.0,1,1.0,200.0233996417069,0.0,35
26.0,1,1.0000000000000002,200.87648974481462,0.0,35
16.0,1,1.0000000000000002,183.68833611097855,0.0,36
26.0,1,1.0,269.5715411763311,0.0,36
16.0,1,0.9999999999999998,184.83042905228712,0.0,37
26.0,1,0.9999999999999997,236.41529852760215,0.0,37
16.0,1,0.9999999999999998,172.67745044901125,0.0,38
26.0,1,0.9999999999999998,261.1697807010363,0.0,38
16.0,1,1.0,164.173013219792,0.0,39
26.0,1,1.0000000000000002,272.9481893114301,0.0,39
16.0,1,0.9999999999999998,193.86753040520878,0.0,40
26.0,1,1.0000000000000002,313.30560522366693,0.0,40
16.0,1,1.0,179.65817035666487,0.0,41
26.0,1,0.9999999999999998,244.16463090292055,0.0,41
16.0,1,1.0,181.22719022495133,0.0,42
26.0,1,0.9999999999999998,235.7865003971871,0.0,42
16.0,1,0.9999999999999998,158.10473230389078,0.0,43
26.0,1,1.0,253.69975161840625,0.0,43
16.0,1,1.0000000000000002,173.8882607293623,0.0,44
26.0,1,1.0,268.8888405764514,0.0,44
16.0,1,1.0,149.65159227203097,0.0,45
26.0,1,1.0,241.49638696471385,0.0,45
16.0,1,1.0000000000000002,203.0988013152544,0.0,46
26.0,1,1.0,251.09721222058766,0.0,46
16.0,1,1.0,170.03564927713725,0.0,47
26.0,1,0.9999999999999998,264.5268481559043,0.0,47
16.0,1,1.0000000000000002,214.13758426330668,0.0,48
26.0,1,1.0000000000000002,252.96356445890873,0.0,48
16.0,1,1.0,175.040872501926,0.0,49
26.0,1,1.0,280.9066107862275,0.0,49
16.0,1,1.0,147.27728112817798,0.0,50
26.0,1,1.0,259.4552479014084,0.0,50
16.0,1,1.0,187.18125619783197,0.0,51
26.0,1,1.0,242.80667178628408,0.0,51
16.0,1,1.0,185.96811717573533,0.0,52
26.0,1,1.0,251.4976818354328,0.0,52
16.0,1,1.0,158.01924971631973,0.0,53
26.0,1,1.0000000000000002,270.9776232610983,0.0,53
16.0,1,1.0000000000000002,179.26983478340165,0.0,54
26.0,1,1.0,250.4650946739759,0.0,54
16.0,1,0.9999999999999998,187.00591504536973,0.0,55
26.0,1,1.0,296.1268606439043,0.0,55
16.0,1,1.0,185.12676491274257,0.0,56
26.0,1,1.0000000000000002,244.2080124869702,0.0,56
16.0,1,1.0000000000000002,187.57991897966124,0.0,57
26.0,1,1.0000000000000002,266.09563635679257,0.0,57
16.0,1,1.0,195.4212268295898,0.0,58
26.0,1,0.9999999999999998,321.3417147518991,0.0,58
16.0,1,0.9999999999999997,172.0912647903029,0.0,59
26.0,1,1.0,245.32244903315618,0.0,59
16.0,1,1.0,186.87336851171636,0.0,60
26.0,1,0.9999999999999998,253.18096969112554,0.0,60
16.0,1,1.0,180.14647926016997,0.0,61
26.0,1,1.0000000000000002,238.21276037965762,0.0,61
16.0,1,1.0000000000000002,200.69559974500808,0.0,62
26.0,1,1.0000000000000002,246.6604154839372,0.0,62
16.0,1,1.0,177.2668842627076,0.0,63
26.0,1,1.0,272.3971048325899,0.0,63
16.0,1,1.0,172.318599679241,0.0,64
26.0,1,1.0,241.76280406336323,0.0,64
16.0,1,1.0,165.21263863439978,0.0,65
26.0,1,1.0,233.72248581284634,0.0,65
