param,best_fit,median,q05,q95
spc.Z_mean_UGent,0.7590719094145806,0.7629346519369749,0.696210157915023,0.833289936943424
spc.eta_AS_juv,0.7974467220624769,0.8482289348468438,0.7611577842717284,0.973610380330808
