n,q_dist,t_max,priors
1000,0.1,3,"Truncated(Normal{Float64}(μ=0.8, σ=0.8); lower=0.1, upper=1.0)"
1000,0.1,3,"Truncated(Normal{Float64}(μ=0.9, σ=0.1); lower=0.0, upper=1.0)"
