t_since_mm,treatment_id,y_wetmass_mg,wetmass_mg,pretreatment_24D,num_sample
16.0,1,1.0,183.8402772637279,0.0,1
26.0,1,0.9999999999999998,212.52424455599754,0.0,1
16.0,1,1.0,170.81461641984083,0.0,2
26.0,1,1.0,263.5073165542675,0.0,2
16.0,1,1.0,187.11116097712653,0.0,3
26.0,1,1.0,224.96077681010297,0.0,3
16.0,1,1.0000000000000004,175.27497073126855,0.0,4
26.0,1,1.0000000000000004,247.91504348007092,0.0,4
16.0,1,1.0,174.3722761080257,0.0,5
26.0,1,1.0000000000000002,260.0339242699244,0.0,5
16.0,1,1.0,182.7832471706084,0.0,6
26.0,1,1.0,251.75145061756365,0.0,6
16.0,1,0.9999999999999998,164.04863712272748,0.0,7
26.0,1,1.0,249.14190678141304,0.0,7
16.0,1,1.0000000000000004,190.7417648742799,0.0,8
26.0,1,0.9999999999999998,237.71668341441054,0.0,8
16.0,1,1.0,190.55365039481896,0.0,9
26.0,1,0.9999999999999998,247.366657684809,0.0,9
16.0,1,1.0,173.78718702114082,0.0,10
26.0,1,0.9999999999999998,226.79271406532877,0.0,10
16.0,1,1.0,182.28240043623924,0.0,11
26.0,1,0.9999999999999998,236.97805027406352,0.0,11
16.0,1,1.0000000000000002,162.9301390195119,0.0,12
26.0,1,1.0,242.7827103084,0.0,12
16.0,1,1.0,156.3522109614335,0.0,13
26.0,1,0.9999999999999998,268.4623363392032,0.0,13
16.0,1,1.0,153.18909143851766,0.0,14
26.0,1,0.9999999999999998,241.3331774698201,0.0,14
16.0,1,1.0,209.76793224541726,0.0,15
26.0,1,1.0,222.19979342476717,0.0,15
16.0,1,1.0,174.43246939580143,0.0,16
26.0,1,1.0000000000000004,249.5375441798435,0.0,16
16.0,1,1.0,180.7755262485502,0.0,17
26.0,1,1.0,236.46617785163636,0.0,17
16.0,1,1.0000000000000002,162.94066059658843,0.0,18
26.0,1,1.0,241.74628605444354,0.0,18
16.0,1,1.0000000000000002,157.05419021398697,0.0,19
26.0,1,0.9999999999999998,251.17790165513014,0.0,19
16.0,1,1.0,162.5355012166026,0.0,20
26.0,1,1.0,233.5968461939912,0.0,20
16.0,1,0.9999999999999998,162.6020103986014,0.0,21
26.0,1,1.0,262.1097350722352,0.0,21
16.0,1,0.9999999999999998,191.50651784916508,0.0,22
26.0,1,1.0,251.30986212833528,0.0,22
16.0,1,0.9999999999999998,156.56722618904638,0.0,23
26.0,1,1.0,267.8668988991161,0.0,23
16.0,1,1.0000000000000002,170.303193281125,0.0,24
26.0,1,1.0,266.43280339116484,0.0,24
16.0,1,0.9999999999999998,169.44101908909172,0.0,25
26.0,1,1.0,259.9708966730162,0.0,25
16.0,1,1.0,174.57016471779738,0.0,26
26.0,1,1.0,228.62109261304926,0.0,26
16.0,1,1.0000000000000002,176.78105658911028,0.0,27
26.0,1,0.9999999999999998,282.82511499533905,0.0,27
16.0,1,1.0,172.27051419650064,0.0,28
26.0,1,0.9999999999999998,237.42779876004974,0.0,28
16.0,1,0.9999999999999998,168.71727992988684,0.0,29
26.0,1,1.0,247.65871047370584,0.0,29
16.0,1,1.0,178.91306957324653,0.0,30
26.0,1,1.0,248.5839251720722,0.0,30
16.0,1,1.0,148.71758524914807,0.0,31
26.0,1,1.0,247.60894984860488,0.0,31
16.0,1,1.0,189.76347577413176,0.0,32
26.0,1,0.9999999999999998,254.83197247536404,0.0,32
16.0,1,1.0,168.75944598884809,0.0,33
26.0,1,1.0,243.22750148767653,0.0,33
16.0,1,1.0,171.8780225642833,0.0,34
26.0,1,1.0,252.6670602551648,0.0,34
16.0,1,1.0,168.3463250834389,0.0,35
