param,dist
"spc.KD[1,1]","Truncated(Normal{Float64}(μ=1.0, σ=1.0); lower=0.0, upper=1.0)"
"spc.E[1,1]","Truncated(Normal{Float64}(μ=0.003, σ=0.3); lower=3.0e-5, upper=1.0)"
"spc.B[1,1]","Truncated(Normal{Float64}(μ=2.0, σ=8.0); lower=1.0, upper=10.0)"
