t_since_mm,wetmass_mg,treatment_id,y_wetmass_mg,pretreatment_24D,num_sample
16.0,247.2466467303257,1,1.191723053912197,0.0,1
26.0,127.55811435027586,1,0.6044383772872735,0.0,1
16.0,213.1999619608547,1,1.0276188297068247,0.0,1
26.0,191.875027995777,1,0.9092062167463892,0.0,1
16.0,143.07983625436106,1,0.6896414639761842,0.0,1
26.0,267.80798588707466,1,1.2690170691113416,0.0,1
16.0,181.81213610483073,1,0.8763302432710954,0.0,1
26.0,315.87547780275565,1,1.496786481992448,0.0,1
16.0,252.67650419009732,1,1.2178948398589031,0.0,1
26.0,161.73993215998306,1,0.766410060506844,0.0,1
16.0,259.4387457345586,1,1.2504886859281164,0.0,1
26.0,145.13247358367516,1,0.6877150643957837,0.0,1
16.0,209.22636311383337,1,1.0084661762103377,0.0,1
26.0,194.00128655672148,1,0.919281563821067,0.0,1
16.0,167.5183531133212,1,0.8074345435968372,0.0,1
26.0,298.30153486887156,1,1.4135117675330688,0.0,1
16.0,146.92021300010967,1,0.7081519900607249,0.0,1
26.0,272.6440585015607,1,1.2919329604165117,0.0,1
16.0,253.5801047618673,1,1.2222501734787805,0.0,1
26.0,135.42174181681074,1,0.6417004381892712,0.0,1
16.0,158.7100385831083,2,0.7649786735958426,0.03,1
26.0,287.44909115510495,2,1.3620871012046083,0.03,1
16.0,249.26971044892326,2,1.201474173714504,0.03,1
26.0,130.25450781792088,2,0.6172153276240894,0.03,1
16.0,205.9674860230356,2,0.9927584648608448,0.03,1
26.0,345.29577662054385,2,1.6361955487327962,0.03,1
16.0,123.2993475624988,2,0.5942999711653517,0.03,1
26.0,242.64816854032355,2,1.1497964358542967,0.03,1
16.0,231.86640151382684,2,1.1175906317268476,0.03,1
26.0,376.3827473573253,2,1.7835021959235753,0.03,1
16.0,258.1558283187029,2,1.244305053992318,0.03,1
26.0,141.33300478268703,2,0.6697111548184081,0.03,1
16.0,256.6531179796778,2,1.237062025308003,0.03,1
26.0,154.61522025749807,2,0.7326493756385196,0.03,1
16.0,129.03632423492851,2,0.6219520645332672,0.03,1
26.0,250.03099336425694,2,1.1847801974056829,0.03,1
16.0,165.3404218503474,2,0.796936965853132,0.03,1
26.0,295.6733330178979,2,1.4010579454451721,0.03,1
16.0,132.13823586251974,2,0.6369032060216722,0.03,1
26.0,253.99649020660016,2,1.20357083639194,0.03,1
16.0,106.14907913578494,3,0.5116360785092475,0.3,1
26.0,224.70642463671834,3,1.0647788842384163,0.3,1
16.0,130.911920911816,3,0.6309923966439221,0.3,1
26.0,213.40681964772438,3,1.0112353293001575,0.3,1
16.0,124.54922568862605,3,0.6003243544974786,0.3,1
26.0,216.33418636491288,3,1.0251067540799512,0.3,1
16.0,140.2829946243451,3,0.6761607527402224,0.3,1
26.0,209.05695308969817,3,0.9906233416023019,0.3,1
16.0,203.07854353393034,3,0.9788338296383969,0.3,1
26.0,173.53184563619772,3,0.8222864356240159,0.3,1
16.0,148.19831589432783,3,0.7143124161148465,0.3,1
26.0,205.2988384334151,3,0.9728153900182455,0.3,1
16.0,138.9260964460238,3,0.6696205352598184,0.3,1
26.0,275.63109919804526,3,1.306087152336567,0.3,1
16.0,182.54063718973958,3,0.8798416014600412,0.3,1
26.0,183.7071130852019,3,0.8705022796466961,0.3,1
16.0,185.59593949912397,3,0.8945680871249243,0.3,1
26.0,185.53181047363233,3,0.8791486690521917,0.3,1
16.0,160.43158815647644,3,0.7732765022708388,0.3,1
26.0,199.29234932174614,3,0.9443534411226908,0.3,1
16.0,214.5941794859618,1,1.1604332037939333,0.0,2
26.0,343.5609663054906,1,1.3952862846592147,0.0,2
16.0,160.30481586358783,1,0.8668596301250049,0.0,2
26.0,278.84731279771853,1,1.132468089272913,0.0,2
16.0,126.44507134461833,1,0.6837606667425324,0.0,2
26.0,237.2123515180391,1,0.9633781863640977,0.0,2
16.0,217.43480041922368,1,1.1757940624073648,0.0,2
26.0,179.24319457640354,1,0.7279510641164532,0.0,2
16.0,147.60145465026966,1,0.7981653058565933,0.0,2
26.0,209.99129427833188,1,0.8528267222995961,0.0,2
16.0,128.5539178337263,1,0.6951644032908727,0.0,2
26.0,239.84832238778836,1,0.9740835177667693,0.0,2
16.0,189.31422866150723,1,1.02373008166245,0.0,2
26.0,313.6671794632079,1,1.2738802028621496,0.0,2
16.0,231.07529866066903,1,1.249556021438977,0.0,2
26.0,171.29479135891225,1,0.6956706275070004,0.0,2
16.0,237.6938156383639,1,1.285346120122867,0.0,2
26.0,166.73718842816362,1,0.6771610717545529,0.0,2
16.0,196.2416318834134,1,1.061190504559404,0.0,2
26.0,321.8947072078851,1,1.307294233397253,0.0,2
16.0,135.089812907383,2,0.7305077181848378,0.03,2
26.0,247.97408627097326,2,1.007084260023693,0.03,2
16.0,256.9929828528542,2,1.3897077318632771,0.03,2
26.0,143.2301490048908,2,0.5816931550906106,0.03,2
16.0,147.7134790570186,2,0.7987710857595626,0.03,2
26.0,209.93421956270902,2,0.8525949277253586,0.03,2
16.0,172.4096998581031,2,0.9323176465025096,0.03,2
26.0,293.45501219244386,2,1.1917935791126453,0.03,2
16.0,247.515387511338,2,1.338456964704713,0.03,2
26.0,124.88795403097777,2,0.5072009525774492,0.03,2
16.0,126.53055824512916,2,0.6842229432035242,0.03,2
26.0,218.30873901029,2,0.8866059280187725,0.03,2
16.0,195.15173896804353,2,1.055296831531531,0.03,2
26.0,190.12470799220966,2,0.772143588630164,0.03,2
16.0,145.59140087060314,2,0.7872957978721555,0.03,2
26.0,260.91557184326444,2,1.0596428423222326,0.03,2
16.0,116.35539033566025,2,0.6292000030445221,0.03,2
26.0,224.48544371525404,2,0.9116910576011683,0.03,2
16.0,209.7362908529691,2,1.1341638274130765,0.03,2
26.0,198.05774322255778,2,0.8043616120326851,0.03,2
16.0,164.82598032667232,3,0.8913081467406181,0.3,2
26.0,190.654252500975,3,0.7742942002032489,0.3,2
16.0,179.0738859957955,3,0.9683547043992612,0.3,2
26.0,183.6431917899287,3,0.7458205439662434,0.3,2
16.0,199.13324831299224,3,1.0768271249260755,0.3,2
26.0,172.20950514850523,3,0.699385507048563,0.3,2
16.0,189.36083234625323,3,1.0239820943839877,0.3,2
26.0,325.55381051166637,3,1.3221547593435488,0.3,2
16.0,167.2828554995388,3,0.9045938730124145,0.3,2
26.0,189.48280317483636,3,0.7695366539793246,0.3,2
16.0,181.91253092820983,3,0.9837048776483472,0.3,2
26.0,182.16221582813313,3,0.7398059333146774,0.3,2
16.0,124.88384673492732,3,0.675318234240377,0.3,2
26.0,247.37975083086695,3,1.0046705164107765,0.3,2
16.0,199.77364703968018,3,1.0802901263359745,0.3,2
26.0,119.9839251101014,3,0.4872844749680964,0.3,2
16.0,225.38975374298428,3,1.2188110351586066,0.3,2
26.0,146.80460462849913,3,0.5962099058157468,0.3,2
16.0,103.02573062738612,3,0.5571189253666099,0.3,2
26.0,219.37005239488616,3,0.8909161848712216,0.3,2
16.0,125.64962240602026,1,0.7886695978593222,0.0,3
26.0,240.80572681822895,1,0.996217445201668,0.0,3
16.0,128.70904580402674,1,0.8078727930204687,0.0,3
26.0,244.6780809446832,1,1.0122374410121677,0.0,3
16.0,124.12614486609111,1,0.7791071304538805,0.0,3
26.0,238.87106580006903,1,0.9882137192010095,0.0,3
16.0,218.68092657970178,1,1.3726026001718723,0.0,3
26.0,354.299245224792,1,1.465742088356358,0.0,3
16.0,131.0856018250646,1,0.8227898094468729,0.0,3
26.0,247.67857121179722,1,1.0246505209988956,0.0,3
16.0,144.36664692369698,1,0.9061514327969488,0.0,3
26.0,264.301417900233,1,1.0934195244554983,0.0,3
16.0,229.10967001343906,1,1.438061076946965,0.0,3
26.0,177.35402982545864,1,0.7337166803441817,0.0,3
16.0,133.26251036491612,1,0.8364536911985697,0.0,3
26.0,221.8879353219857,1,0.9179542154925537,0.0,3
16.0,131.6360741337577,1,0.8262449791960249,0.0,3
26.0,248.3752534525112,1,1.0275327074449239,0.0,3
16.0,226.55831430559743,1,1.4220468889090776,0.0,3
26.0,178.9491348862764,1,0.7403156574927428,0.0,3
16.0,119.43838209051899,2,0.749683277741266,0.03,3
26.0,233.11609292643092,2,0.9644052971624907,0.03,3
16.0,125.29894125529039,2,0.7864684646061775,0.03,3
26.0,240.59202277910873,2,0.9953333479059159,0.03,3
16.0,249.18551604495656,2,1.564071876766161,0.03,3
26.0,129.0068067168553,2,0.533703384463538,0.03,3
16.0,225.21687003903997,2,1.4136269964334927,0.03,3
26.0,362.27198844354587,2,1.498725464564148,0.03,3
16.0,255.44016252228417,2,1.6033306459336985,0.03,3
26.0,136.68051966756212,2,0.5654496672948208,0.03,3
16.0,246.8440425241038,2,1.5493750639566326,0.03,3
26.0,162.98100278971907,2,0.6742552195950885,0.03,3
16.0,161.49749453305503,2,1.0136772529017166,0.03,3
26.0,285.680962789335,2,1.1818670704105527,0.03,3
16.0,254.1425123179727,2,1.595185637256399,0.03,3
26.0,153.50498479033547,2,0.6350527696917404,0.03,3
16.0,178.5880221697171,2,1.1209499951536193,0.03,3
26.0,306.49663211801686,2,1.2679818534465697,0.03,3
16.0,131.0906692963097,2,0.8228216166296761,0.03,3
26.0,247.92363921005824,2,1.0256643715345708,0.03,3
16.0,225.45964696355946,3,1.4151508432685558,0.3,3
26.0,151.3465607999181,3,0.6261233324154473,0.3,3
16.0,145.07101443166434,3,0.910572562193253,0.3,3
26.0,276.5233663591721,3,1.1439819360311232,0.3,3
16.0,217.85656557077294,3,1.3674283031628298,0.3,3
26.0,119.267797568622,3,0.4934129356413957,0.3,3
16.0,197.9672999878391,3,1.2425886196950813,0.3,3
26.0,131.7028874892465,3,0.5448571171202217,0.3,3
16.0,110.16939144531901,3,0.691504263871333,0.3,3
26.0,232.2581439227551,3,0.9608559473366022,0.3,3
16.0,130.50993632599716,3,0.8191765086747946,0.3,3
26.0,258.31760637039116,3,1.068664392949315,0.3,3
16.0,116.86251071403382,3,0.7335152113059739,0.3,3
26.0,216.85315955322906,3,0.8971252612987022,0.3,3
16.0,120.09845541409918,3,0.7538263842042799,0.3,3
26.0,245.08503866523915,3,1.0139210321212089,0.3,3
16.0,118.35937172711104,3,0.7429106137801667,0.3,3
26.0,242.8534083590823,3,1.004688739054058,0.3,3
16.0,140.4183324512051,3,0.8813689023952249,0.3,3
26.0,270.738787585662,3,1.1200510338741991,0.3,3
16.0,119.88318142822489,1,0.7133087976376783,0.0,4
26.0,234.12361233780234,1,0.9002010161916227,0.0,4
16.0,123.35948630930132,1,0.7339929238462176,0.0,4
26.0,232.64373900843228,1,0.8945109302509886,0.0,4
16.0,119.71120272645909,1,0.7122855188131229,0.0,4
26.0,237.92678936615897,1,0.9148241624496923,0.0,4
16.0,140.64316703532106,1,0.8368313818396927,0.0,4
26.0,225.31653331065775,1,0.8663379580799254,0.0,4
16.0,198.45702748813204,1,1.1808257169506386,0.0,4
26.0,336.1425200643398,1,1.2924618543410094,0.0,4
16.0,199.00442979200824,1,1.1840827783211347,0.0,4
26.0,199.20730729450236,1,0.7659484605959723,0.0,4
16.0,239.4061597202854,1,1.4244743749928972,0.0,4
26.0,385.30266105309204,1,1.4814816991670274,0.0,4
16.0,228.66011835368175,1,1.3605350821308202,0.0,4
26.0,182.75101624222552,1,0.7026743218618127,0.0,4
16.0,148.25701815917722,1,0.8821340416944592,0.0,4
26.0,274.3201003927491,1,1.054755779092635,0.0,4
16.0,163.28136392467562,1,0.9715293837733375,0.0,4
26.0,293.05830088381776,1,1.1268038179693132,0.0,4
16.0,237.9980309935148,2,1.4160959636340598,0.03,4
26.0,160.89997523780218,2,0.618657468027157,0.03,4
16.0,177.5623631508067,2,1.0565017899582292,0.03,4
26.0,201.92160010015425,2,0.7763848668921642,0.03,4
