C_W_1,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
0.3,16.9,22.4,5.5,342.1399010269953,174.60697588592268,19
3.0,15.5,20.7,5.2,343.24386540137914,181.7176332986466,19
30.0,19.0,34.4,15.4,176.60828742167013,24.049478909914146,19
0.0,16.0,21.3,5.3,342.53834523851543,172.66340244711014,20
0.03,14.8,20.1,5.3,344.54167553495813,182.01145290944538,20
0.3,15.5,20.7,5.2,343.1585822215972,177.45208765382318,20
3.0,13.9,19.4,5.5,346.04654044148634,179.11838711359647,20
30.0,19.1,34.3,15.2,172.95242347665845,23.826371846242534,20
0.0,13.4,18.4,5.0,346.17969762184896,188.28634187425627,21
0.03,14.4,19.6,5.2,345.27543269624147,179.88372129358365,21
0.3,14.6,20.0,5.4,345.0226422177562,178.10763736429467,21
3.0,13.4,18.5,5.1,346.1202331060764,185.3489760000826,21
30.0,19.0,34.2,15.2,176.995549063353,24.72227677044382,21
0.0,16.4,21.6,5.2,342.1433430406738,180.98531217570581,22
0.03,15.8,21.3,5.5,343.2953072717398,172.00447017724397,22
0.3,16.3,21.7,5.4,342.45488916924705,172.12039398474306,22
3.0,15.3,20.4,5.1,343.6061586117961,181.52943854429023,22
30.0,20.7,36.0,15.3,167.47478511610265,23.173043443355102,22
0.0,16.5,21.6,5.1,341.74429740685684,184.5866607133712,23
0.03,15.9,21.2,5.3,342.886518886396,175.9054364977444,23
0.3,14.8,20.2,5.4,344.718178244941,177.51667991473496,23
3.0,17.3,22.7,5.4,340.8940301907735,171.60521312488345,23
30.0,26.8,42.4,15.6,147.10903778946323,20.096698991532428,23
0.0,13.6,18.9,5.3,346.2162429640577,183.07585190553286,24
0.03,14.6,19.8,5.2,344.5213581225946,177.93115724352143,24
0.3,13.7,18.8,5.1,346.11313895991293,187.79970430893042,24
3.0,14.2,19.5,5.3,345.4951028024413,182.3341431374866,24
30.0,18.6,33.7,15.1,175.97084310341378,25.11564171687393,24
0.0,15.0,20.3,5.3,344.02162929955296,173.78666010664676,25
0.03,13.8,18.9,5.1,345.6425781219688,187.3473508503749,25
0.3,15.4,20.5,5.1,343.2276325058394,180.1330062177731,25
3.0,15.4,20.9,5.5,343.52581870252635,169.12998209244876,25
30.0,17.5,32.9,15.4,184.1358719490475,25.187831411147215,25
0.0,13.5,18.6,5.1,345.9747171875798,183.9587825716962,26
0.03,14.2,19.4,5.2,345.20709064732876,179.27092597622467,26
0.3,15.9,21.2,5.3,342.88986199761155,175.8563084183242,26
3.0,15.0,20.2,5.2,344.30662884984247,182.47652587404636,26
30.0,18.2,33.4,15.2,176.8574952809094,24.217119694557304,26
0.0,16.9,22.2,5.3,341.66029461050573,173.8158192677359,27
0.03,17.1,22.3,5.2,341.2144762790753,176.24589138553398,27
0.3,13.7,18.8,5.1,345.6035383478362,181.4240679824616,27
3.0,14.4,19.8,5.4,344.821789947645,169.2231174760681,27
30.0,24.0,39.6,15.6,159.25973424578268,21.654399203925152,27
0.0,16.8,22.2,5.4,342.0403337079217,175.93725821852257,28
0.03,14.4,19.4,5.0,344.30080959655515,183.75009406291787,28
0.3,14.7,19.8,5.1,344.2394628163442,181.18920380425726,28
3.0,16.2,21.6,5.4,342.74058669425824,175.3300380449536,28
30.0,19.1,34.3,15.2,174.31743918865277,23.9286733100704,28
0.0,15.5,20.9,5.4,343.72601815046727,177.26089320941782,29
0.03,15.4,20.6,5.2,343.28217836418924,177.8356975708513,29
0.3,13.7,18.9,5.2,345.8007562311519,176.25364678859654,29
3.0,16.0,21.4,5.4,342.95091942493315,174.75557880607465,29
30.0,18.9,33.9,15.0,174.61468939815308,24.970484861318653,29
0.0,13.2,18.6,5.4,346.5366390460476,173.41993128129607,30
0.03,15.6,21.0,5.4,343.4218829732262,171.1123250947891,30
0.3,16.9,22.2,5.3,341.8696455389998,179.33987688294502,30
3.0,16.0,21.3,5.3,343.110380722822,177.93704124404468,30
30.0,18.8,33.8,15.0,172.6108490590656,24.585517413308843,30
0.0,16.3,21.5,5.2,341.8588173143261,177.65796481607765,31
0.03,14.5,19.7,5.2,345.1403867547325,187.7072159403485,31
0.3,15.1,20.2,5.1,343.7672527087469,183.3227309293488,31
3.0,16.1,21.4,5.3,342.69825394582665,177.57433530914858,31
30.0,19.4,34.7,15.3,173.99131080668872,23.6232494886818,31
0.0,12.9,18.2,5.3,346.9687079207678,182.0240796283333,32
0.03,14.7,19.9,5.2,344.2892898051997,180.20331662930099,32
0.3,16.2,21.3,5.1,342.52952272778293,182.9642813124346,32
3.0,15.2,20.3,5.1,343.7406977999925,183.1534524864921,32
30.0,20.6,35.8,15.2,168.56547669264535,23.593133426867848,32
0.0,15.7,21.2,5.5,343.5756788316879,175.71560225771196,33
0.03,13.8,18.9,5.1,345.595046392163,183.77151867037077,33
0.3,14.4,19.5,5.1,344.821366225507,181.3941448567532,33
3.0,14.5,19.8,5.3,345.25773637140173,185.21641859798393,33
30.0,19.6,34.7,15.1,169.9136132857531,23.74544372645701,33
0.0,17.1,22.4,5.3,341.7592432154414,180.2971201976303,34
0.03,16.1,21.2,5.1,342.6623709975753,182.8495703541191,34
0.3,15.8,21.1,5.3,343.51910886371184,179.93793843598988,34
3.0,16.8,22.0,5.2,341.7498670852932,181.838173463353,34
30.0,16.3,31.4,15.1,187.10227632382748,26.2420294450146,34
