spc.Z_corr,spc.H_j1,weight,loss
0.8579384715451459,28.5833808777068,0.0456667267880775,0.041892060642169146
0.9243000672760341,29.036779023356694,0.021887206112603086,0.054337609675931826
0.9743212592681645,34.545669391982955,0.010956310670924143,0.052910975394028815
0.9001137757023913,33.847525548956625,0.005179338313160088,0.05779248355688962
1.0249971117822179,34.246586361157156,0.028902183045068728,0.06118205384577915
0.9086739285610238,28.394932913697502,0.008750535656713661,0.058375714646717355
0.9260188087824707,28.555643841755835,0.012938976033514725,0.060397891719100046
0.8654666458662272,33.51478006976862,0.0025354333726394338,0.06435027085674025
0.7599666713485212,26.270656018904045,0.014312318080989261,0.052747359290535756
0.889969156685065,32.43790192385954,0.010747577244789249,0.04586297352287626
0.958671264124218,35.27649930490109,0.007496615036300259,0.05497297230599283
0.8107150559105514,25.64301508793364,0.010009615845929723,0.06232462552425366
0.9719072125665735,35.61130040395368,0.006215685859836022,0.058120281733450005
0.9609708538818197,33.07098989914978,0.018092490974008994,0.038057903645129086
0.9022073036298489,28.51395763379379,0.012001239782145016,0.052094293186050314
0.8928313713109601,30.264967450051238,0.017545860216572996,0.03427639850914243
0.9740664633876056,35.232455955507085,0.006388546115235063,0.05866156899828047
0.8916093382682913,30.920857479437238,0.01852337547927042,0.02844050857754545
0.8717789781724636,27.273131151864536,0.009431715541222319,0.05803285047970268
0.9153489360605681,32.16641350041542,0.026101069496613262,0.03577139002356061
0.9661986292169701,34.01616776824385,0.013987510883538157,0.04509994126987525
0.9580110649797062,34.268758357667316,0.011580655808084274,0.04900967793174931
0.8867244837509916,27.317724547613835,0.007458929704677152,0.05748570356238109
0.8531983753226751,33.13569279836334,0.002818347313399402,0.0657532751877978
0.887828240773374,27.77254525597101,0.007234163751349351,0.057482212939393
0.8777368289603009,31.586745124686246,0.015403176420316151,0.04026173840883342
0.755659124756053,26.414104050624054,0.008152995084857203,0.059829333846423055
0.9708023801377568,34.98384218075792,0.010209232643539833,0.05203504210451866
0.9010947900527304,31.644125463056234,0.017742309003958904,0.034588558566854694
0.9046110954572318,31.043002464521827,0.022202613569524587,0.028992384900573685
0.8992505968524024,30.645925022320796,0.020430371558344228,0.028680361376238857
0.9525881220096852,33.162769084632345,0.01797826699214593,0.04200385278943359
0.9510332856998704,31.56813642988925,0.017133014529662653,0.04748472280424995
0.8724992867749733,31.709667342924075,0.014453042295282737,0.04635747808300473
0.7854547992103827,27.2638396088729,0.027001885714272703,0.045537968237376186
0.8008555933712878,29.27701344815931,0.012045858783610834,0.05893527606447944
0.9351333423364707,29.01843313802398,0.010137424832271277,0.061855238844497826
0.9242167734572221,34.617460540925656,0.014944794698748808,0.054325908714280814
0.8959631483870831,29.98524693838196,0.018364635487077566,0.034361408284478104
0.9484677582062689,32.71977242630827,0.024821223612845483,0.03532194395870845
0.9623182565374516,31.34559353809853,0.009190437131435043,0.05581198761735067
0.9053212712714701,28.03556843445237,0.008333083736413208,0.05811259256290199
0.9874688787115141,33.95575114308558,0.027028620249331958,0.04470160665390483
0.7597505337584427,27.27785483944321,0.0026363489464546084,0.06443731110549808
0.8741771633420067,29.152829003048748,0.019777989854910628,0.04044108372991176
0.8991812901976471,32.80427895305083,0.011322393073733002,0.04611895518781003
0.9825815723032492,33.41132100151468,0.01938721306691892,0.04922106619168181
0.7811502992513483,26.546705152526137,0.0183025594799259,0.0525298516687433
0.8930385588625822,29.5386278098525,0.016015786788759524,0.04009469697837668
0.8921851159247214,33.97347693479214,0.004790582100328125,0.057519938924057934
0.7592051258703091,25.547305205284108,0.009055201308465691,0.05878349749388738
0.8988050194673528,30.060902786932292,0.018972322250008253,0.03447366140507303
0.9318312705943446,34.39502829097311,0.01573696313482324,0.05548443827633148
0.7546696934286248,26.954067654960497,0.0012094532375441982,0.06593381625367739
0.8917544359997227,29.51355772470093,0.015929564763805942,0.040070695275834595
0.9826756493228219,30.94208825162778,0.0003845208259281715,0.06668745956590216
0.8945058684900494,33.01526915986668,0.008027503703579816,0.05175870817661447
0.8200127179147662,30.866819687035576,0.002176377531869213,0.06599773931227385
0.8575429428244941,29.80215438561941,0.050676732570859744,0.03612562213814492
0.9829306544144562,31.907767913140724,0.00816072751121292,0.060940372213462074
0.888883035083,27.556897539850343,0.007322992087691741,0.05748410210078353
0.8836268476258363,29.012137063455064,0.016733863125913462,0.04008049449192645
0.8630915468883903,31.320707248495612,0.022445138049743532,0.04713752073298918
0.9465335808963947,34.622393548627656,0.012438799489711012,0.05236950098653609
0.7615433909777479,26.721169515402202,0.008964756098521891,0.058100086541943756
0.8994303850435236,29.5985223605128,0.017137914583145886,0.04031683539197513
0.8785487183241234,31.66358770095561,0.015074343289313829,0.04022814062967499
0.9575507524241902,35.09134294666327,0.0078311106508102,0.05472007269954921
0.89580132810348,30.816306052072754,0.019270172472626114,0.028542060762881922
0.9220218079270537,34.546826720849594,0.01417500083931201,0.054024757533493395
0.9603434867690136,35.46564306711287,0.0037082556937812336,0.061169490229625284
