spc.Z,spc.dI_max_lrv,spc.k_M_emb,spc.eta_AS_emb,spc.H_j1,spc.gamma,spc.k_J_emb,spc.kappa_emb,spc.watercontent_larvae,spc.watercontent_juveniles,spc.time_since_birth,weight,loss
0.1679883066850858,1.6175162369287555,0.23225023002565112,0.9058748197695194,11.432348088927718,0.65516065306941,0.00725562053770553,0.8250544190547051,0.9405244078138731,0.9078793904899498,19.27358700857022,0.0012301021052509502,0.013850228568211317
0.2959621646803081,1.5571409585072886,0.2010036696697535,0.9757812512440635,14.674676161863445,0.6767583697227548,0.0015782566005076947,0.7659685691903502,0.9395913265691656,0.8840197300437103,17.885837611783106,0.0011826920286755389,0.010425759029485891
0.23236971991392547,1.4869005337929564,0.211630377077778,0.9616918345147305,10.055494935485838,0.7090100204791501,0.044451166417895316,0.7288819879741176,0.9381624537679722,0.8920619517165195,22.775063597627987,0.0010757091215670446,0.014106061223641492
0.24043134138621303,1.5507339487371388,0.16297301140666354,0.9247767653279138,15.800679069290553,0.7165404960405753,0.028471724931224754,0.6930573387016241,0.9370396336849004,0.7975578771160038,23.48929429244832,0.0009969290555134516,0.014120211516410795
0.1338313729405141,1.8348948638155902,0.1772166216643164,0.8620245980568103,12.18522310231506,0.8420959952364995,0.014258808892658516,0.7495105921601537,0.9370207274016701,0.8542595794464035,22.71031961046978,0.0012886095027211859,0.01319407388957169
0.23279321616859172,1.6127560948383957,0.1682210871521878,0.881677976615016,10.461030202346832,0.7520655865775495,0.027370514601853937,0.7424832039485937,0.9440632223609619,0.8775936165227036,18.03907460227779,0.0012308494993007407,0.01379172965320636
0.24012450787294368,1.6701078249313661,0.203938770841812,0.9880164068007256,16.206372016686398,0.7900924696635633,0.000276202892846544,0.6999303265854497,0.939662439212168,0.8861650980314651,21.040727751109767,0.0012239288972068674,0.00866926907158964
0.2735397771420098,1.7421920757290845,0.1592121828157007,0.5340796750754502,9.79433516087486,0.6229068294460761,0.014246288760158436,0.8525440930265158,0.9358635523264728,0.8110285256934323,22.390298735976145,0.0010909971927035435,0.010274280623193546
0.2282510715858486,1.514030270161971,0.24948773335001506,0.9094711635032605,9.509877401668671,0.7108601625065251,0.004739748845726784,0.8440019081268562,0.9405463658792987,0.8728694135588608,19.763084688061923,0.0012994856680046104,0.011483815202921056
0.22419438977986142,1.5860115800681756,0.21366593106596427,0.9950054691125255,9.277410207928774,0.734883498066741,0.03847526119858102,0.7657066441366356,0.9381495319230395,0.91258457555616,17.60686309401339,0.0011453103232152051,0.012885732050082657
