param,best_fit,median,q05,q95
spc.Z,0.15281505411147597,0.2523235095316156,0.16005380588088494,0.3035995677166795
spc.dI_max_lrv,1.7865368013934244,1.6127902868448816,1.378626914366021,1.8572147575092268
spc.k_M_emb,0.21315063638656917,0.17472628624357117,0.13483442491479464,0.24236371308529078
spc.eta_AS_emb,0.780252234581411,0.8782012785848429,0.6202434265184678,0.9786729299079587
spc.H_j1,9.112602194483605,12.273011223867965,7.012141968848181,18.86523141244044
spc.gamma,0.829154206966738,0.7181150969201844,0.5641854467897945,0.8280228151990395
spc.k_J_emb,0.008796273704430865,0.011705177134871632,0.0010360441885681364,0.04077740671493823
spc.kappa_emb,0.8097768265141193,0.7385418268859936,0.6696256333545724,0.8570819188709001
spc.watercontent_larvae,0.934635741108194,0.9404867633791861,0.9340516046633124,0.9457220167122953
spc.watercontent_juveniles,0.8924977356228544,0.8641939804301855,0.7916401077996441,0.9056657915929507
spc.time_since_birth,23.51664543565247,20.624893752161046,16.65227873286862,24.31054558649138
