param,estimate
spc.Z,0.1293619107937687
spc.dI_max_lrv,1.596835647038456
spc.k_M_emb,0.2036578031695591
spc.eta_AS_emb,0.7403938014425412
spc.H_j1,8.892596059484436
spc.gamma,0.555859853989445
spc.k_J_emb,0.0515486835181469
spc.kappa_emb,0.8069374355721852
spc.watercontent_larvae,0.9351030938257037
spc.watercontent_juveniles,0.8513012735288946
spc.time_since_birth,20.00983558445007
