"spc.KD[1,2]","spc.E[1,2]","spc.B[1,2]",weight,loss
0.2151878271981462,431.3563055047309,0.7238707086348148,0.00010507420954830939,0.21803592464333532
0.08495441671498782,234.76541158397634,0.5875524057104462,0.00862977859332415,0.21221528321744315
0.2234845515896498,192.5141847455638,0.7584662328066293,0.013202248677232162,0.2179503217673777
0.7519967525382755,483.1412032005114,0.5576253603972903,0.0006336173884212319,0.21482600937570304
0.028029742794800958,184.57232102466483,0.746018459367261,0.010405008397748553,0.21494876109871264
0.20929960840364062,682.5200712600633,0.5410742688770986,5.404167619135556e-8,0.21591931450779367
0.08092014654714502,319.2705544179295,0.5322678014382354,0.0017855923519448258,0.21271934085619001
0.09572926453900717,419.4334726353522,0.6916502413063054,1.8768398623086993e-5,0.21770329066750904
0.023718722426237696,85.0473346134329,0.9469075194092008,0.009057155989270408,0.21653726737647944
0.07495238123216424,176.33174534963504,0.7556692435624618,0.015346480212506675,0.21469420134789685
0.1565848031117653,191.813910143129,0.7177732005415763,0.011142546469737058,0.21646694123873658
0.8924908841470314,333.2276990975936,0.5845396714033216,0.05216015524665648,0.2143216972326967
0.12234424217885655,340.29141301272966,0.6979082203440792,0.0010624611232600237,0.21411145959610536
0.17238002032948102,303.67385331034734,0.5355970051034049,0.010741176179235585,0.21258391552091502
0.12288130492138637,381.9059513974428,0.6048491968793824,0.0010077007881390907,0.21237052387052477
0.08245838888255565,457.21115758044607,0.5334284781439627,4.665121680958051e-5,0.21437417685177074
0.13939783449193466,353.44429866319535,0.5725821372955111,0.0013918263419845785,0.21366343436706708
0.03572130029597371,242.16732523701802,0.6514883206743459,0.0018144686371049273,0.2156798631284356
0.11460945764608362,460.094681900447,0.566772145212845,4.505934829544373e-5,0.21483406271839822
0.07919093790163405,340.869057721878,0.6995992422877609,0.00014702711451067155,0.2169102583108226
0.06411454516833018,377.39228275034725,0.6771944046061139,3.399399179672584e-5,0.2176571513891915
0.20715415852824395,307.03881359819707,0.5188227547612728,0.01620822558328742,0.21286924395709148
0.023524297640890514,136.60949246362142,0.6309648639184158,0.02530806186623395,0.21154653771073306
0.05250578380538593,387.53884995210655,0.5551125686353069,0.00013477087628170474,0.21490536509330024
0.06826035241915197,246.1637938407992,0.5439856147353361,0.005034934359687186,0.21130618266883738
0.07227376830398051,445.66280925390765,0.6529589272430062,7.6159386218440374e-6,0.2179478092311825
0.02152314268708545,88.3092886952673,0.9486581134215256,0.018431714167642523,0.21427699124557079
0.02513480346437058,117.27915818563346,0.7197458523793518,0.012953099801514831,0.21015414572475363
0.014822557027153675,92.45543850174633,0.5517025423193899,0.019850057616835785,0.21050238187949416
0.10408869037990742,516.582551331827,0.5484832821862293,6.93152117031264e-6,0.21499591780717808
0.15128106708579098,277.3639718436347,0.6875878053678778,0.009381291589586293,0.21378997854189505
0.04244663396950418,131.10134901100048,0.6440295531347172,0.013891984087848341,0.2130726470621849
0.07543026922570029,367.8153676518824,0.6697435982062072,0.00010034936206993288,0.21682945867840253
0.08719691094973417,220.8891766240463,1.0105140976796145,0.26399211320466703,0.21504425808435185
0.05890585275452594,225.8650654090696,0.5839122070433168,0.008606113366312458,0.21149487589176244
0.07085161405543414,542.804900523318,0.5072905505759523,7.950428293284827e-6,0.21481542008807855
0.191621852198476,351.76419598615973,0.5234584929593359,0.006133260904646732,0.21220851469958588
0.15896357821013674,476.2468739266357,0.5496604853991185,0.0001193890083247548,0.21209191814193207
0.054934400372456296,216.2027740130564,0.9566746557655071,0.0038731873054760483,0.21634140269118024
0.021860291145176382,97.81499161350912,0.6250966640504487,0.04078297066525908,0.2111382474166831
0.028824577001311642,178.75790435166843,0.6406017754986404,0.011940296818119053,0.21204974706252672
0.06946444848988274,209.39955065954888,0.607373681697151,0.015076704997225463,0.21167545628814952
0.008449656128681036,34.41344751276203,0.7039028570545387,0.0058852307197416204,0.21483920742065596
0.07146694764294817,194.25926733371003,0.6383669183218696,0.010675201040386242,0.2123191116781282
0.05451126087457435,233.50610794902195,0.5314581172014877,0.007280237801275232,0.21092794328099845
0.1325225464648721,270.3785437857569,0.5486195736960271,0.007965481795554116,0.2125560944956514
0.04512340134958995,142.38905794025845,0.5418610445176223,0.00920580477602438,0.21397083936880082
0.06828843874548168,370.3726665882027,0.639623854352793,0.0002141885336824354,0.21595315430726428
0.14175789739423644,302.0554986223045,0.6950820357964617,0.006036798817465242,0.2117780867766893
0.07897901752067088,296.5610448346788,0.5992620474752465,0.0030208722545303547,0.2134083239768016
0.07058352033564766,297.5064081907268,0.5513555167687993,0.0016424273007401762,0.21279033799121017
0.16978324534037048,204.7970852817685,0.5414109332199004,0.014520574505185213,0.21671709552521312
0.6525646059136803,473.9418782954277,0.7146862637276604,8.857886861189833e-6,0.21869737659891253
0.09458094072746806,209.38106024951463,0.5533507883208659,0.005384363677715489,0.21509189854379454
