t_since_mm,wetmass_mg,treatment_id,y_wetmass_mg,pretreatment_24D,num_sample
16.0,171.99896996188687,1,1.0027733588151306,0.0,1
26.0,300.1644086274736,1,1.0021309232719402,0.0,1
16.0,166.1782986753385,1,0.9688381899134548,0.0,1
26.0,292.38243157830493,1,0.9761499621019466,0.0,1
16.0,172.8802123784864,1,1.0079111013156796,0.0,1
26.0,301.33526855793355,1,1.0060399641489022,0.0,1
16.0,172.48863087045524,1,1.0056281370389442,0.0,1
26.0,300.8173491645979,1,1.0043108349620102,0.0,1
16.0,170.71155110239695,1,0.9952675619244938,0.0,1
26.0,298.44323576603824,1,0.9963846039243939,0.0,1
16.0,172.88493163647848,1,1.0079386151210756,0.0,1
26.0,301.34479328450965,1,1.006071763465421,0.0,1
16.0,171.67517944281974,1,1.0008856236360804,0.0,1
26.0,299.7301147671932,1,1.0006809868548805,0.0,1
16.0,173.43214636191195,1,1.0111289385767197,0.0,1
26.0,302.075535799096,1,1.008511425363262,0.0,1
16.0,172.28209528727405,1,1.0044240113368696,0.0,1
26.0,300.54018226940985,1,1.0033854836925336,0.0,1
16.0,170.70072805188823,1,0.9952044623215506,0.0,1
26.0,298.42809420749523,1,0.9963340522147096,0.0,1
16.0,174.18011859488487,2,1.0154897009029413,0.03,1
26.0,303.0695752957838,2,1.0118301323450112,0.03,1
16.0,173.0027724375745,2,1.008625640258184,0.03,1
26.0,301.50184043119253,2,1.0065960821307225,0.03,1
16.0,170.63819072747296,2,0.9948398626796509,0.03,1
26.0,298.34687685996477,2,0.9960628994293459,0.03,1
16.0,170.73550698799,2,0.9954072274344957,0.03,1
26.0,298.474256283125,2,0.9964881692323885,0.03,1
16.0,173.49492472554437,2,1.0114949435043918,0.03,1
26.0,302.159147642929,2,1.0087905724301645,0.03,1
16.0,173.30690305043328,2,1.0103987559706935,0.03,1
26.0,301.90585230411233,2,1.0079449189001224,0.03,1
16.0,169.93373065737302,2,0.9907327811616523,0.03,1
26.0,297.4052535025532,2,0.9929191893244333,0.03,1
16.0,173.78122701626654,2,1.0131641180917024,0.03,1
26.0,302.5382251811794,2,1.0100561632613214,0.03,1
16.0,173.23576263099073,2,1.0099839993162338,0.03,1
26.0,301.8118211431832,2,1.007630985830745,0.03,1
16.0,170.149477973906,2,0.9919906123062403,0.03,1
26.0,297.6917765214176,2,0.9938757770116484,0.03,1
16.0,173.34230487711417,3,1.010605152605841,0.3,1
26.0,301.9546843341103,3,1.0081079498454997,0.3,1
16.0,170.02010824620083,3,0.9912363722290547,0.3,1
26.0,297.5192459322774,3,0.9932997652207158,0.3,1
16.0,171.91893282326745,3,1.0023067332862619,0.3,1
26.0,300.0568351373929,3,1.0017717776909332,0.3,1
16.0,168.68143415359438,3,0.983431751558947,0.3,1
26.0,295.7340552956332,3,0.9873397156962004,0.3,1
16.0,171.7825128079817,3,1.001511389238748,0.3,1
26.0,299.8743692956868,3,1.0011625959986377,0.3,1
16.0,168.83287748055238,3,0.9843146832048602,0.3,1
26.0,295.934734562058,3,0.988009704851355,0.3,1
16.0,171.83049501870798,3,1.0017911309292011,0.3,1
26.0,299.93740084010494,3,1.0013730335388238,0.3,1
16.0,166.89653085183363,3,0.9730255643622245,0.3,1
26.0,293.34487976726876,3,0.9793631981302219,0.3,1
16.0,171.14677813110077,3,0.9978049845004382,0.3,1
26.0,299.0271676587611,3,0.998334122887878,0.3,1
16.0,172.7891013118961,3,1.0073799135400192,0.3,1
26.0,301.21740902324825,3,1.0056464775098612,0.3,1
16.0,173.2420198441009,1,1.0061859271505882,0.0,2
26.0,301.81926855170593,1,1.004730446842891,0.0,2
16.0,171.52668744611537,1,0.9962233134567992,0.0,2
26.0,299.5322940403619,1,0.9971173049327436,0.0,2
16.0,170.16392986621193,1,0.9883084467272922,0.0,2
26.0,297.70965387080815,1,0.9910498922033414,0.0,2
16.0,171.824632583895,1,0.9979537724122338,0.0,2
26.0,299.9314953257848,1,0.9984462117577051,0.0,2
16.0,172.1227788504459,1,0.9996853995192484,0.0,2
26.0,300.32357735877616,1,0.9997514192022027,0.0,2
16.0,172.73009614828504,1,1.0032126853298777,0.0,2
26.0,301.13598841847727,1,1.0024558659095002,0.0,2
16.0,169.62264419711767,1,0.9851646711969616,0.0,2
26.0,296.9902104083136,1,0.9886549266498863,0.0,2
16.0,173.94533033960641,1,1.010270739389742,0.0,2
26.0,302.75746778868785,1,1.007853631598867,0.0,2
16.0,174.08813689046588,1,1.0111001567672873,0.0,2
26.0,302.9470753767721,1,1.0084848189899664,0.0,2
16.0,172.50320183744626,1,1.0018948880499685,0.0,2
26.0,300.83547481597367,1,1.0014554819128962,0.0,2
16.0,173.86083165869712,2,1.0097799728674504,0.03,2
26.0,302.6446700256834,2,1.0074781375246478,0.03,2
16.0,164.1589811299003,2,0.953431833552413,0.03,2
26.0,289.6785739547894,2,0.9643151162847186,0.03,2
16.0,170.10559410595815,2,0.9879696338857553,0.03,2
26.0,297.6326948661987,2,0.9907937022806075,0.03,2
16.0,166.41316433652412,2,0.9665240811593454,0.03,2
26.0,292.698606521534,2,0.9743685455598795,0.03,2
16.0,169.83953206952052,2,0.9864243512975387,0.03,2
26.0,297.2806749306381,2,0.989621858120854,0.03,2
16.0,169.83610132657702,2,0.986404425616272,0.03,2
26.0,297.2720856872921,2,0.9895932652667712,0.03,2
16.0,173.65695509819264,2,1.0085958621866808,0.03,2
26.0,302.3735414790154,2,1.006575573857481,0.03,2
16.0,173.73495182403815,2,1.0090488654937317,0.03,2
26.0,302.47774288794886,2,1.0069224514066242,0.03,2
16.0,171.16803924236,2,0.9941402923990833,0.03,2
26.0,299.0537802915158,2,0.9955243737226006,0.03,2
16.0,173.8183140007503,2,1.0095330312240776,0.03,2
26.0,302.5892241682826,2,1.0072935630229958,0.03,2
16.0,173.59673660469355,3,1.0082461144709274,0.3,2
26.0,302.293478155739,3,1.006309049924277,0.3,2
16.0,171.2984507892561,3,0.9948977198600588,0.3,2
26.0,299.22379175977903,3,0.9960903273122975,0.3,2
16.0,170.36289983966842,3,0.9894640600559617,0.3,2
26.0,297.9768478391102,3,0.9919393579967416,0.3,2
16.0,172.6819311235275,3,1.0029329439014674,0.3,2
26.0,301.0746276200465,3,1.002251601076702,0.3,2
16.0,173.53383666400865,3,1.0078807929675604,0.3,2
26.0,302.2110756889687,3,1.0060347391830962,0.3,2
16.0,171.18117764713088,3,0.9942165999715623,0.3,2
26.0,299.0694650107229,3,0.9955765868069845,0.3,2
16.0,173.25814990183284,3,1.006279610179155,0.3,2
26.0,301.84332819410116,3,1.0048105393279423,0.3,2
16.0,170.47207617354087,3,0.9900981538561795,0.3,2
26.0,298.12600893055173,3,0.9924359024711047,0.3,2
16.0,173.6611512616894,3,1.008620233414067,0.3,2
26.0,302.3797161603469,3,1.0065961288418037,0.3,2
16.0,171.3659984998021,3,0.9952900355108679,0.3,2
26.0,299.318002066214,3,0.9964039453385282,0.3,2
16.0,168.19745793648764,1,0.9823337869645096,0.0,3
26.0,295.08602711452465,1,0.9864998357958363,0.0,3
16.0,173.85892616896828,1,1.0153988023150509,0.0,3
26.0,302.643240602155,1,1.0117642982901178,0.0,3
16.0,171.5585058435843,1,1.0019635183484057,0.0,3
26.0,299.5712963135628,1,1.0014945048813841,0.0,3
16.0,171.70952960021293,1,1.0028455515288752,0.0,3
26.0,299.7773788682316,1,1.0021834578905424,0.0,3
16.0,173.3528881945004,1,1.012443358125195,0.0,3
26.0,301.9694570734388,1,1.0095117777389413,0.0,3
16.0,169.65055970360797,1,0.9908204251054923,0.0,3
26.0,297.02397828466815,1,0.992978585500867,0.0,3
16.0,169.3297592002145,1,0.9889468345219913,0.0,3
26.0,296.600599792676,1,0.9915631921089337,0.0,3
16.0,174.02623090813975,1,1.016375922302616,0.0,3
26.0,302.86777399732233,1,1.012514934162745,0.0,3
16.0,172.04789249090493,1,1.0048217127851722,0.0,3
26.0,300.2246138665313,1,1.0036786057858833,0.0,3
16.0,168.49132696095447,1,0.9840500880026922,0.0,3
26.0,295.47817065021997,1,0.987810807844749,0.0,3
16.0,173.64945914085692,2,1.0141754393612152,0.03,3
26.0,302.3628103985707,2,1.010826794225648,0.03,3
16.0,171.86693953612328,2,1.00376488229847,0.03,3
26.0,299.9879512908611,2,1.0028874209428713,0.03,3
16.0,173.19524232931363,2,1.0115226494435772,0.03,3
26.0,301.7583679104812,2,1.0088060871759816,0.03,3
16.0,172.36993738561682,2,1.006702571062557,0.03,3
26.0,300.65590880331706,2,1.005120464583737,0.03,3
16.0,169.510270943242,2,0.990001088172999,0.03,3
26.0,296.8386619683067,2,0.9923590559438478,0.03,3
16.0,169.7187171448274,2,0.9912184891319307,0.03,3
26.0,297.1197657419048,2,0.9932988118150686,0.03,3
16.0,171.56300363019042,2,1.0019897870435688,0.03,3
26.0,299.5806021173724,2,1.001525615042783,0.03,3
16.0,173.575907484028,2,1.013745871171085,0.03,3
26.0,302.26678941988655,2,1.010505787227685,0.03,3
16.0,168.18308477571273,2,0.9822498425242792,0.03,3
26.0,295.06598606293744,2,0.9864328367098637,0.03,3
16.0,171.00890180302602,2,0.9987536326276804,0.03,3
26.0,298.83814030859827,2,0.9990434966598747,0.03,3
16.0,173.30785652304016,3,1.0121803569306373,0.3,3
26.0,301.90888291781215,3,1.009309272743488,0.3,3
16.0,169.15735124316961,3,0.987939909902413,0.3,3
26.0,296.36583065883246,3,0.9907783372167815,0.3,3
16.0,173.84170050822328,3,1.0152981982467124,0.3,3
26.0,302.6163820418323,3,1.011674507642939,0.3,3
16.0,172.4731220717338,3,1.0073052068259838,0.3,3
26.0,300.79801974743765,3,1.0055955545919308,0.3,3
16.0,173.7263104908214,3,1.0146242789487459,0.3,3
26.0,302.4663373315245,3,1.0111728943218066,0.3,3
16.0,172.11149372876574,3,1.0051931669415544,0.3,3
26.0,300.31285038199746,3,1.0039735886045202,0.3,3
16.0,168.4731017070777,3,0.9839436459501261,0.3,3
26.0,295.45499557942054,3,0.9877333314431662,0.3,3
16.0,171.47004938241534,3,1.0014469007279752,0.3,3
26.0,299.4579781253389,3,1.0011156717147693,0.3,3
16.0,170.4254449687143,3,0.9953460343880197,0.3,3
26.0,298.06218998917075,3,0.9964494230936468,0.3,3
