replicate,C_W_1,treatment_bd,treatment_id,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
7,0.0,uninfected,2,24.0,26.0,2.0,173.9089255806863,169.74848907021033,2
7,0.03,uninfected,2,0.0,3.0,3.0,169.74848907021033,101.77532477570388,2
8,0.0,uninfected,2,24.0,26.0,2.0,173.82428889930335,169.93298367355638,2
8,0.03,uninfected,2,0.0,3.0,3.0,169.93298367355638,102.45820550934748,2
9,0.0,uninfected,2,25.0,26.0,1.0,175.29491425466168,170.7141123572438,2
9,0.03,uninfected,2,0.0,3.0,3.0,170.7141123572438,105.51080844646917,2
10,0.0,uninfected,2,25.0,26.0,1.0,175.29393917806138,170.60819600660534,2
10,0.03,uninfected,2,0.0,3.0,3.0,170.60819600660534,105.0757697036922,2
1,0.0,uninfected,3,25.0,26.0,1.0,175.29671944500348,170.75406645394173,2
1,0.3,uninfected,3,0.0,3.0,3.0,170.75406645394173,105.67041918810946,2
2,0.0,uninfected,3,25.0,26.0,1.0,175.26250350551672,170.14641704235626,2
2,0.3,uninfected,3,0.0,3.0,3.0,170.14641704235626,103.29434594670512,2
3,0.0,uninfected,3,25.0,26.0,1.0,175.26961999958436,170.11573083628537,2
3,0.3,uninfected,3,0.0,3.0,3.0,170.11573083628537,103.14648470389335,2
4,0.0,uninfected,3,25.0,26.0,1.0,175.27932694736182,170.2809105959872,2
4,0.3,uninfected,3,0.0,3.0,3.0,170.2809105959872,103.78389714847313,2
5,0.0,uninfected,3,25.0,26.0,1.0,175.27699660384218,170.30782703253928,2
5,0.3,uninfected,3,0.0,3.0,3.0,170.30782703253928,103.90137490500682,2
6,0.0,uninfected,3,25.0,26.0,1.0,175.29487363272344,170.71344295707385,2
6,0.3,uninfected,3,0.0,3.0,3.0,170.71344295707385,105.5081785613863,2
7,0.0,uninfected,3,25.0,26.0,1.0,175.229895461254,171.9826014581999,2
7,0.3,uninfected,3,0.0,3.0,3.0,171.9826014581999,111.18144330597852,2
8,0.0,uninfected,3,24.0,26.0,2.0,173.87900220840058,169.8225131987351,2
8,0.3,uninfected,3,0.0,3.0,3.0,169.8225131987351,102.04012174540368,2
9,0.0,uninfected,3,25.0,26.0,1.0,175.29836938857824,170.8783053454466,2
9,0.3,uninfected,3,0.0,3.0,3.0,170.8783053454466,106.18272027279231,2
10,0.0,uninfected,3,25.0,26.0,1.0,175.30029926559538,170.9641437384385,2
10,0.3,uninfected,3,0.0,3.0,3.0,170.9641437384385,106.53559148294221,2
1,0.0,uninfected,1,24.0,29.0,5.0,173.91064065222702,101.72434681538195,3
2,0.0,uninfected,1,25.0,29.0,4.0,175.26717957858622,103.27060950238764,3
3,0.0,uninfected,1,25.0,29.0,4.0,175.26597800173946,109.72853327654532,3
4,0.0,uninfected,1,25.0,29.0,4.0,175.2685196372124,103.17844296850363,3
5,0.0,uninfected,1,25.0,29.0,4.0,175.29421175725872,105.00204898587364,3
6,0.0,uninfected,1,25.0,29.0,4.0,175.2897908473311,104.949510933835,3
7,0.0,uninfected,1,25.0,29.0,4.0,175.22336970630852,111.34664519309115,3
8,0.0,uninfected,1,25.0,29.0,4.0,175.29076733439035,104.69949260402798,3
9,0.0,uninfected,1,25.0,29.0,4.0,175.28823289932208,104.85508102252898,3
10,0.0,uninfected,1,25.0,29.0,4.0,175.29074029085265,104.40962669798168,3
1,0.0,uninfected,2,25.0,26.0,1.0,175.2878118145924,170.5536640352014,3
1,0.03,uninfected,2,0.0,3.0,3.0,170.5536640352014,104.87199623011051,3
2,0.0,uninfected,2,24.0,26.0,2.0,173.92562758876826,169.69661880450724,3
2,0.03,uninfected,2,0.0,3.0,3.0,169.69661880450724,101.59909552875031,3
3,0.0,uninfected,2,25.0,26.0,1.0,175.25121714357263,171.82210556850575,3
3,0.03,uninfected,2,0.0,3.0,3.0,171.82210556850575,110.39404778785321,3
4,0.0,uninfected,2,25.0,26.0,1.0,175.2629484174069,171.71330216435925,3
4,0.03,uninfected,2,0.0,3.0,3.0,171.71330216435925,109.87485464053569,3
5,0.0,uninfected,2,25.0,26.0,1.0,175.29265232740775,170.75672726550948,3
5,0.03,uninfected,2,0.0,3.0,3.0,170.75672726550948,105.69552135420362,3
6,0.0,uninfected,2,25.0,26.0,1.0,175.18028969650211,172.3088141195023,3
6,0.03,uninfected,2,0.0,3.0,3.0,172.3088141195023,112.82949765662498,3
7,0.0,uninfected,2,25.0,26.0,1.0,175.27438033022497,170.2554506282993,3
7,0.03,uninfected,2,0.0,3.0,3.0,170.2554506282993,103.69693954042906,3
8,0.0,uninfected,2,24.0,26.0,2.0,173.85247807465268,169.87250152442604,3
8,0.03,uninfected,2,0.0,3.0,3.0,169.87250152442604,102.2326910012172,3
9,0.0,uninfected,2,25.0,26.0,1.0,175.25905535617926,169.96099705774546,3
9,0.03,uninfected,2,0.0,3.0,3.0,169.96099705774546,102.55822283257697,3
10,0.0,uninfected,2,25.0,26.0,1.0,175.29436691456777,170.60576708313627,3
10,0.03,uninfected,2,0.0,3.0,3.0,170.60576708313627,105.0642965894604,3
1,0.0,uninfected,3,25.0,26.0,1.0,175.29337919270085,170.82473485909702,3
1,0.3,uninfected,3,0.0,3.0,3.0,170.82473485909702,105.97629050620401,3
2,0.0,uninfected,3,24.0,26.0,2.0,173.87923425523465,169.82468952822433,3
2,0.3,uninfected,3,0.0,3.0,3.0,169.82468952822433,102.04560255467904,3
3,0.0,uninfected,3,25.0,26.0,1.0,175.2931751048493,171.1636712762233,3
3,0.3,uninfected,3,0.0,3.0,3.0,171.1636712762233,107.40230299995908,3
4,0.0,uninfected,3,24.0,26.0,2.0,173.8935855289664,169.748925990767,3
4,0.3,uninfected,3,0.0,3.0,3.0,169.748925990767,101.80837269677944,3
5,0.0,uninfected,3,25.0,26.0,1.0,175.30046890237955,170.95153678686594,3
5,0.3,uninfected,3,0.0,3.0,3.0,170.95153678686594,106.48210146767704,3
6,0.0,uninfected,3,24.0,26.0,2.0,173.8838164959822,169.7998151005238,3
6,0.3,uninfected,3,0.0,3.0,3.0,169.7998151005238,101.9679011441238,3
7,0.0,uninfected,3,25.0,26.0,1.0,175.27149341971938,171.59973740827832,3
7,0.3,uninfected,3,0.0,3.0,3.0,171.59973740827832,109.3494515584052,3
8,0.0,uninfected,3,25.0,26.0,1.0,175.29063503141987,171.15775146901757,3
