replicate,C_W_1,treatment_bd,treatment_id,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
7,0.0,uninfected,2,24.0,26.0,2.0,173.8204626386897,169.93692560727425,2
7,0.03,uninfected,2,0.0,3.0,3.0,169.93692560727425,102.47710869189632,2
8,0.0,uninfected,2,24.0,26.0,2.0,173.8364688304851,169.90332249287488,2
8,0.03,uninfected,2,0.0,3.0,3.0,169.90332249287488,102.3509684527108,2
9,0.0,uninfected,2,25.0,26.0,1.0,175.29755167724508,170.95166971856656,2
9,0.03,uninfected,2,0.0,3.0,3.0,170.95166971856656,106.49281728706536,2
10,0.0,uninfected,2,24.0,26.0,2.0,173.85422409942188,169.86905686227084,2
10,0.03,uninfected,2,0.0,3.0,3.0,169.86905686227084,102.21958184758796,2
1,0.0,uninfected,3,24.0,26.0,2.0,173.80832764082518,169.9626166073191,2
1,0.3,uninfected,3,0.0,3.0,3.0,169.9626166073191,102.57348024382098,2
2,0.0,uninfected,3,25.0,26.0,1.0,175.28841838992076,170.88954173795582,2
2,0.3,uninfected,3,0.0,3.0,3.0,170.88954173795582,106.26424839560785,2
3,0.0,uninfected,3,25.0,26.0,1.0,175.2876333709273,171.2470191762104,2
3,0.3,uninfected,3,0.0,3.0,3.0,171.2470191762104,107.77604233349768,2
4,0.0,uninfected,3,25.0,26.0,1.0,175.28336217396665,170.3501945838971,2
4,0.3,uninfected,3,0.0,3.0,3.0,170.3501945838971,104.05270910204685,2
5,0.0,uninfected,3,25.0,26.0,1.0,175.26269123765223,169.99544296189634,2
5,0.3,uninfected,3,0.0,3.0,3.0,169.99544296189634,102.68460338386578,2
6,0.0,uninfected,3,25.0,26.0,1.0,175.2923073006244,170.93934528731396,2
6,0.3,uninfected,3,0.0,3.0,3.0,170.93934528731396,106.45933351749147,2
7,0.0,uninfected,3,25.0,26.0,1.0,175.26765050694686,170.10697478262955,2
7,0.3,uninfected,3,0.0,3.0,3.0,170.10697478262955,103.11766865012805,2
8,0.0,uninfected,3,25.0,26.0,1.0,175.2933065697575,171.2114540064465,2
8,0.3,uninfected,3,0.0,3.0,3.0,171.2114540064465,107.60468108677529,2
9,0.0,uninfected,3,24.0,26.0,2.0,173.82159867149852,169.9346212573613,2
9,0.3,uninfected,3,0.0,3.0,3.0,169.9346212573613,102.46836850504866,2
10,0.0,uninfected,3,25.0,26.0,1.0,175.2965854698323,170.87408994652102,2
10,0.3,uninfected,3,0.0,3.0,3.0,170.87408994652102,106.171287789183,2
1,0.0,uninfected,1,25.0,29.0,4.0,175.23192399987784,111.25322356505623,3
2,0.0,uninfected,1,24.0,29.0,5.0,173.86211086599485,102.15292861584236,3
3,0.0,uninfected,1,25.0,29.0,4.0,175.28795570556542,105.84574970194569,3
4,0.0,uninfected,1,25.0,29.0,4.0,175.29570409029412,105.61957625691964,3
5,0.0,uninfected,1,25.0,29.0,4.0,175.26700112322382,102.97296579861013,3
6,0.0,uninfected,1,25.0,29.0,4.0,175.2705762428077,108.91044095951648,3
7,0.0,uninfected,1,25.0,29.0,4.0,175.27344405109645,109.44745823602858,3
8,0.0,uninfected,1,24.0,29.0,5.0,173.89828650412105,101.88831401761048,3
9,0.0,uninfected,1,25.0,29.0,4.0,175.2842627669865,105.0590970425332,3
10,0.0,uninfected,1,25.0,29.0,4.0,175.2424608619506,110.78084212686404,3
1,0.0,uninfected,2,24.0,26.0,2.0,173.81866378998834,169.9410347407619,3
1,0.03,uninfected,2,0.0,3.0,3.0,169.9410347407619,102.49221387772043,3
2,0.0,uninfected,2,25.0,26.0,1.0,175.2972257140521,170.68314573063506,3
2,0.03,uninfected,2,0.0,3.0,3.0,170.68314573063506,105.37439689337815,3
3,0.0,uninfected,2,25.0,26.0,1.0,175.2701293495326,170.13561534459396,3
3,0.03,uninfected,2,0.0,3.0,3.0,170.13561534459396,103.22518496090915,3
4,0.0,uninfected,2,25.0,26.0,1.0,175.28497870620484,170.47296440579538,3
4,0.03,uninfected,2,0.0,3.0,3.0,170.47296440579538,104.54974709494758,3
5,0.0,uninfected,2,25.0,26.0,1.0,175.27178822758714,171.55272211158228,3
5,0.03,uninfected,2,0.0,3.0,3.0,171.55272211158228,109.14473050387481,3
6,0.0,uninfected,2,25.0,26.0,1.0,175.28347287014034,171.48870655158126,3
6,0.03,uninfected,2,0.0,3.0,3.0,171.48870655158126,108.82618758904947,3
7,0.0,uninfected,2,25.0,26.0,1.0,175.2956189423624,170.79741828907822,3
7,0.03,uninfected,2,0.0,3.0,3.0,170.79741828907822,105.85469099161747,3
8,0.0,uninfected,2,25.0,26.0,1.0,175.25887968834525,169.97364621461412,3
8,0.03,uninfected,2,0.0,3.0,3.0,169.97364621461412,102.60961146500166,3
9,0.0,uninfected,2,25.0,26.0,1.0,175.230375447316,172.0042827677069,3
9,0.03,uninfected,2,0.0,3.0,3.0,172.0042827677069,111.2758553137901,3
10,0.0,uninfected,2,25.0,26.0,1.0,175.28875364731186,171.00065131333392,3
10,0.03,uninfected,2,0.0,3.0,3.0,171.00065131333392,106.72928567977635,3
1,0.0,uninfected,3,25.0,26.0,1.0,175.2668189557664,170.0875687083504,3
1,0.3,uninfected,3,0.0,3.0,3.0,170.0875687083504,103.04206555843719,3
2,0.0,uninfected,3,25.0,26.0,1.0,175.25701226034818,171.6674767154054,3
2,0.3,uninfected,3,0.0,3.0,3.0,171.6674767154054,109.69639820381207,3
3,0.0,uninfected,3,24.0,26.0,2.0,173.85098807275924,169.84459645638816,3
3,0.3,uninfected,3,0.0,3.0,3.0,169.84459645638816,102.15916534136672,3
4,0.0,uninfected,3,25.0,26.0,1.0,175.29027568042181,170.4395084367423,3
4,0.3,uninfected,3,0.0,3.0,3.0,170.4395084367423,104.39450167728609,3
5,0.0,uninfected,3,24.0,26.0,2.0,173.83426728955536,169.9054577598325,3
5,0.3,uninfected,3,0.0,3.0,3.0,169.9054577598325,102.36145946494854,3
6,0.0,uninfected,3,25.0,26.0,1.0,175.29063516725617,170.57957426272915,3
6,0.3,uninfected,3,0.0,3.0,3.0,170.57957426272915,104.9690228009929,3
7,0.0,uninfected,3,25.0,26.0,1.0,175.2442687756995,171.91176160819558,3
7,0.3,uninfected,3,0.0,3.0,3.0,171.91176160819558,110.81469351927825,3
8,0.0,uninfected,3,25.0,26.0,1.0,175.30017172441063,170.8394254006953,3
8,0.3,uninfected,3,0.0,3.0,3.0,170.8394254006953,106.01408116512575,3
9,0.0,uninfected,3,25.0,26.0,1.0,175.2927589447014,171.22993007447693,3
9,0.3,uninfected,3,0.0,3.0,3.0,171.22993007447693,107.68517023747712,3
10,0.0,uninfected,3,25.0,26.0,1.0,175.03884486352825,172.8668179220706,3
10,0.3,uninfected,3,0.0,3.0,3.0,172.8668179220706,115.95891582568821,3
1,0.0,uninfected,1,25.0,29.0,4.0,175.25564507827994,102.9191716642882,4
2,0.0,uninfected,1,24.0,29.0,5.0,173.9155943280553,101.68402821683517,4
3,0.0,uninfected,1,25.0,29.0,4.0,175.28598269773508,105.39744117192346,4
4,0.0,uninfected,1,25.0,29.0,4.0,175.28221289499075,108.62158307145934,4
5,0.0,uninfected,1,25.0,29.0,4.0,175.29312858098282,105.12636218386642,4
6,0.0,uninfected,1,25.0,29.0,4.0,175.278544932635,108.86180280149583,4
7,0.0,uninfected,1,25.0,29.0,4.0,175.28583688318471,104.45151377260149,4
8,0.0,uninfected,1,25.0,29.0,4.0,175.29520399849895,105.71376392356312,4
9,0.0,uninfected,1,25.0,29.0,4.0,175.29956169591037,106.96001635222017,4
10,0.0,uninfected,1,25.0,29.0,4.0,175.28904973238627,108.12397201704034,4
1,0.0,uninfected,2,25.0,26.0,1.0,175.2134889242982,172.10937628567817,4
