pth.gamma,pth.eta,pth.sigma1,spc.Chi,spc.E_P[2],spc.B_P[2],weight,loss
0.10536874465249597,135.92702859166243,0.004658637310150356,1.0011771568137737,18542.79070829555,3.0176181079103994,0.0019919971739033064,0.030000783385063574
0.10087021152408036,60.77347542429079,0.0014286238539066537,0.7455766604783836,10947.233144250175,2.0631553493556867,0.0012397483804169579,0.04064305738123374
0.1357545581535542,84.75545715387308,0.0008953596754183146,1.1285243027008027,26099.547792878817,2.4412130391627795,0.0007953317933486316,0.04578226866037631
0.28887360186858985,115.67752110626162,0.002004061795122518,0.9654092946779893,21694.93466468459,2.8570394862505615,0.0022592932250078746,0.025157632530471492
0.19239544495012836,139.71559961705447,0.00387810202721611,0.591105773026673,14970.842174055198,3.2065341986835803,0.001922398448072361,0.031138484784022275
0.05283841518684003,108.6309080567334,0.0015115910933734134,1.482424077834474,9696.518357869496,3.5896144438946154,0.00020237474440235002,0.05185198328007613
0.1284681441754086,144.84949326998697,0.0045276176179269295,0.5532047318338473,19050.771894924255,3.950430313065445,0.0018779872190311676,0.03184321943089019
0.054271455102076246,104.28030147000436,0.001254882867249352,0.9987120019535454,17686.728350128542,3.745986455667909,0.002482441744563387,0.02024568572249478
0.44274457190640215,161.66641808050923,0.003319432137814129,1.0574116051256957,3964.8870062932638,3.2978071684021657,0.000825431270420677,0.045452548438095035
0.143473889855964,107.49511131022462,0.001748754951241304,1.2024036754582212,16608.343047950813,2.4502634354492026,0.0004817260569110291,0.04908604072090802
0.11651571606220482,175.66625096729607,0.003018145452381933,0.973321403367525,16365.386656128816,2.448252624191211,0.001082357593708246,0.04253419006746334
0.18529895188756185,174.7143082277296,0.0014220420271296615,1.5023785771691722,13455.401242395856,3.6134992500866825,0.00039194422897200973,0.049991689144050354
0.12233703104283672,167.8485571028134,0.004422925752439192,1.3161818185499206,8624.355141638767,3.2852899151758628,0.0003583082256590169,0.050326786269527184
0.17171424093161855,135.79388746159134,0.0017770817310804885,1.0117267827094436,22285.135453051244,2.306544668368982,0.0014806486401085458,0.037564584618488626
0.15063897349152147,88.3656270258445,0.0004165943664302216,1.54064124651703,19015.128493855656,3.2541662197138033,0.0019446225838597802,0.030779766562057432
0.12362028979611148,200.29652134567067,0.003585807401639938,0.9582890970769328,16407.71521000681,2.9258812238191467,0.0003662336284377261,0.050248031053053255
0.08864231321022945,104.70827620784391,0.0034594389915970436,0.8859101387259344,11561.628185979334,2.501482872857875,0.0017470270498572496,0.033835995564210394
0.09417987110827498,76.42717778146103,0.00047946245890138797,1.8009475342895362,8953.001123754848,3.5625221190851954,0.0003882744513316422,0.05002835821725912
0.029676362718843968,139.82199086700746,0.002131998062538328,1.0448423466721195,18527.972841673927,2.074378398974434,0.0025137341901171227,0.01945799454795995
0.16745041330644655,114.53863366084741,0.0007198317583264995,1.4020708531340857,25818.729110900946,3.6244186185831118,0.00032526847961122593,0.05065378503744329
0.0692779313818645,161.24269721767132,0.0026467523488940704,0.8097075718998679,18798.209294810767,2.6981755307638866,0.00020933895381702037,0.05178482415415067
0.12006418849207437,120.5993197382649,0.0007619775482986165,1.3144938885435413,10489.21265334628,3.580252548419269,0.0014842162155669259,0.03751709634070633
0.07654824362979575,184.96576555220514,0.004249793984252437,0.6304951602466004,11233.128290323813,2.7058124645977326,0.0012089865805569688,0.04101953211451586
0.1929033195705708,42.15586706054773,0.0006635632679159266,1.274046229510918,11144.545405573801,3.5660566311496167,0.0008324466327919933,0.04537535541372949
0.11284299703182973,61.74227531769001,0.0011257814076842392,1.221640324568631,23159.24490825209,3.139049995305511,1.709267438859686e-5,0.05360785797517745
0.09842410507021783,167.371658422636,0.0013544526399726687,1.5638207455154856,10651.743734189164,2.5916463408223067,0.0005873221162083298,0.047999008049467135
0.07138943165902888,149.67221558094397,0.0034978430637463316,1.171269071598776,20531.961946179996,3.3438995752195435,0.000531082383136642,0.04858098171730128
0.11339639820082761,148.5568618767788,0.0031866072341644996,0.851756952005275,19209.520914907367,3.4351473811001743,0.000900635109809252,0.04461809135628726
0.1490533003570249,86.21367584835801,0.0012473368222192722,1.2005161556342552,17857.598973866683,3.467920037093597,1.5880944472535862e-5,0.05361915200352592
0.1714659993455684,208.73949830903513,0.004533829982942438,1.2834659168530282,25893.72811789423,2.7969564564158698,0.0007484702809290838,0.04629093183864562
