param,best_fit,MAP,median,q05,q95
spc.dI_max_juv,1.9945904680364197,2.2561051119065585,2.2129419175443346,1.9959136696744022,2.3932208752996194
spc.eta_AS_juv,0.10037932801370503,0.06915407788957817,0.07555766344611946,0.050317605417855946,0.09897823782565508
spc.H_p,1825.2405388419434,1910.6045241296802,1935.329214582986,1642.1492290506692,2208.011899238996
spc.k_J_juv,0.02,0.02,0.02,0.02,0.02
spc.eta_AR,0.4745673506657224,0.36701690684855914,0.4483855462423833,0.26174438418620866,0.6467636807359567
