t_since_mm,treatment_bd,pretreatment_24D,individualID,length_mm,weight_g,bdload,treatment_combination,y_length_mm,y_weight_g
16,JEL423,0.3,D203A,10.721,0.14,,JEL423 | 0.3,0.9249657052637028,0.8433734939759038
16,JEL423,0.3,D203B,11.945,0.2,,JEL423 | 0.3,1.0305676102392436,1.2048192771084338
16,uninfected,0.3,D203C,10.8935,0.15,,uninfected | 0.3,0.9398483266756968,0.9036144578313253
16,uninfected,0.3,D203D,11.975,0.13,,uninfected | 0.3,1.033155892223938,0.783132530120482
16,JEL423,0.3,D203E,10.707,0.12,,JEL423 | 0.3,0.9237578403375121,0.7228915662650603
16,uninfected,0.3,D208A,11.248,0.21,,uninfected | 0.3,0.9704331921281717,1.2650602409638556
16,JEL423,0.3,D208B,10.9025,0.14,,JEL423 | 0.3,0.9406248112711053,0.8433734939759038
16,uninfected,0.3,D208C,10.2665,0.15,,uninfected | 0.3,0.8857532331955793,0.9036144578313253
16,JEL423,0.3,D208D,10.909,0.16,,JEL423 | 0.3,0.9411856057011225,0.9638554216867471
16,uninfected,0.3,D208E,11.96,0.21,,uninfected | 0.3,1.0318617512315909,1.2650602409638556
16,JEL423,0.3,D208F,12.0095,0.17,,JEL423 | 0.3,1.0361324165063368,1.024096385542169
26,uninfected,0.0,D151A,14.234,0.34,0,uninfected | 0.0,1.0534378827630357,1.1929824561403508
26,uninfected,0.0,D151B,13.3985,0.28,0,uninfected | 0.0,0.9916037285513936,0.9824561403508771
26,JEL423,0.0,D151C,11.999,0.22,16520,JEL423 | 0.0,0.888028744925788,0.7719298245614035
26,JEL423,0.0,D151D,13.297,0.24,10200,JEL423 | 0.0,0.9840918594281359,0.8421052631578946
26,JEL423,0.0,D151E,13.2055,0.26,14120,JEL423 | 0.0,0.9773200759327856,0.9122807017543859
26,JEL423,0.0,D156A,12.193,0.19,3348,JEL423 | 0.0,0.9023864061071867,0.6666666666666666
26,uninfected,0.0,D156B,13.2045,0.27,0,uninfected | 0.0,0.9772460673699948,0.9473684210526315
26,JEL423,0.0,D156C,11.6515,0.2,41600,JEL423 | 0.0,0.8623107693560146,0.7017543859649122
26,JEL423,0.0,D156D,10.274,0.17,20840,JEL423 | 0.0,0.7603639741118048,0.5964912280701754
26,uninfected,0.0,D156E,13.3595,0.23,0,uninfected | 0.0,0.9887173946025557,0.8070175438596491
26,JEL423,0.0,D161A,13.0965,0.29,3856,JEL423 | 0.0,0.9692531425885976,1.0175438596491226
26,uninfected,0.0,D161B,13.243,0.27,0,uninfected | 0.0,0.9800953970374373,0.9473684210526315
26,uninfected,0.0,D161C,13.4845,0.28,0,uninfected | 0.0,0.997968464951395,0.9824561403508771
26,JEL423,0.0,D161D,12.27,0.23,1764,JEL423 | 0.0,0.9080850654420717,0.8070175438596491
26,JEL423,0.0,D161E,12.127,0.15,29320,JEL423 | 0.0,0.8975018409629996,0.5263157894736842
26,uninfected,0.0,D161F,14.0425,0.28,0,uninfected | 0.0,1.039265242988614,0.9824561403508771
26,uninfected,0.0,D166A,14.4935,0.31,0,uninfected | 0.0,1.0726431048072262,1.0877192982456139
26,JEL423,0.0,D166B,15.0485,0.32,20520,JEL423 | 0.0,1.113717857156073,1.1228070175438596
26,uninfected,0.0,D166C,13.7965,0.32,0,uninfected | 0.0,1.021059136542098,1.1228070175438596
26,uninfected,0.0,D166D,11.863,0.27,0,uninfected | 0.0,0.8779635803862508,0.9473684210526315
26,JEL423,0.0,D166E,13.375,0.2,3324,JEL423 | 0.0,0.9898645273258116,0.7017543859649122
26,JEL423,0.03,D172A,12.7455,0.22,47,JEL423 | 0.03,0.9432761370490567,0.7719298245614035
26,uninfected,0.03,D172B,13.5775,0.29,0,uninfected | 0.03,1.0048512612909315,1.0175438596491226
26,uninfected,0.03,D172C,12.4925,0.26,0,uninfected | 0.03,0.9245519706630058,0.9122807017543859
26,JEL423,0.03,D172D,13.71,0.26,9920,JEL423 | 0.03,1.0146573958607013,0.9122807017543859
26,JEL423,0.03,D172E,13.0075,0.21,2872,JEL423 | 0.03,0.962666380500224,0.7368421052631577
26,JEL423,0.03,D177A,12.933,0.27,7720,JEL423 | 0.03,0.9571527425723156,0.9473684210526315
26,uninfected,0.03,D177B,13.2115,0.26,0,uninfected | 0.03,0.9777641273095298,0.9122807017543859
26,uninfected,0.03,D177C,12.4395,0.23,0,uninfected | 0.03,0.920629516835098,0.8070175438596491
26,JEL423,0.03,D177D,12.3995,0.2,988,JEL423 | 0.03,0.9176691743234693,0.7017543859649122
26,JEL423,0.03,D177E,12.04,0.21,30240,JEL423 | 0.03,0.8910630960002073,0.7368421052631577
26,JEL423,0.03,D182A,13.1125,0.27,608,JEL423 | 0.03,0.9704372795932491,0.9473684210526315
26,uninfected,0.03,D182B,14.028,0.32,0,uninfected | 0.03,1.0381921188281484,1.1228070175438596
26,uninfected,0.03,D182C,14.0045,0.31,0,uninfected | 0.03,1.0364529176025667,1.0877192982456139
26,uninfected,0.03,D182D,13.5535,0.31,,uninfected | 0.03,1.0030750557839543,1.0877192982456139
26,JEL423,0.03,D182E,13.4355,0.29,34480,JEL423 | 0.03,0.9943420453746499,1.0175438596491226
26,uninfected,0.03,D187A,12.601,0.28,0,uninfected | 0.03,0.9325818997257984,0.9824561403508771
26,JEL423,0.03,D187B,13.5955,0.25,3260,JEL423 | 0.03,1.0061834154211642,0.8771929824561403
26,uninfected,0.03,D187C,12.502,0.26,0,uninfected | 0.03,0.9252550520095176,0.9122807017543859
26,JEL423,0.03,D187D,13.2005,0.25,5080,JEL423 | 0.03,0.9769500331188319,0.8771929824561403
26,JEL423,0.03,D187E,12.4715,0.21,29680,JEL423 | 0.03,0.9229977908444008,0.7368421052631577
26,uninfected,0.03,D187F,13.575,0.27,0,uninfected | 0.03,1.0046662398839545,0.9473684210526315
26,uninfected,0.3,D193A,12.2325,0.22,0,uninfected | 0.3,0.90530974433742,0.7719298245614035
26,JEL423,0.3,D193B,11.1595,0.16,10640,JEL423 | 0.3,0.8258985564629828,0.5614035087719298
26,JEL423,0.3,D193C,11.9605,0.19,32960,JEL423 | 0.3,0.8851794152583454,0.6666666666666666
26,uninfected,0.3,D193D,12.6715,0.22,0,uninfected | 0.3,0.9377995034025438,0.7719298245614035
26,JEL423,0.3,D193E,13.3885,0.26,380,JEL423 | 0.3,0.9908636429234864,0.9122807017543859
26,uninfected,0.3,D198A,12.9455,0.25,0,uninfected | 0.3,0.9580778496071995,0.8771929824561403
26,uninfected,0.3,D198B,12.7235,0.22,0,uninfected | 0.3,0.9416479486676609,0.7719298245614035
26,uninfected,0.3,D198C,11.805,0.18,0,uninfected | 0.3,0.8736710837443893,0.6315789473684209
