treatment_bd,pretreatment_24D,load_mean,load_var,load_skew,load_kurt,load_cv,strain,treatment_combination
uninfected,0.0,0.0,0.0,NaN,NaN,NaN,BdJEL423,uninfected | 0.0
JEL423,0.0,15037.454545454546,1.574786280727273e8,0.7941504818437228,-0.22245101453896954,0.8345194895337789,BdJEL423,JEL423 | 0.0
JEL423,0.03,11354.09090909091,1.7701964169090906e8,0.8915027790298279,-0.9694404539666444,1.1718131342833582,BdJEL423,JEL423 | 0.03
uninfected,0.03,,,NaN,NaN,,BdJEL423,uninfected | 0.03
uninfected,0.3,0.0,0.0,NaN,NaN,NaN,BdJEL423,uninfected | 0.3
JEL423,0.3,25432.0,1.0988380256e9,1.3309393561564413,0.32861516501950083,1.303425835633583,BdJEL423,JEL423 | 0.3
