spc.Z,spc.dI_max_lrv,spc.k_M_emb,spc.eta_AS_emb,spc.H_j1,spc.gamma,spc.k_J_emb,spc.kappa_emb,spc.watercontent_larvae,spc.watercontent_juveniles,spc.time_since_birth,weight,loss
0.2633894473385152,2.6709949392463277,0.19933818765310404,0.513565514279729,32.382740176399416,0.7719407209162306,0.0019111274822822258,0.6832423220912213,0.9424691114911662,0.8621724888897999,21.13468458929062,0.0006130658104542995,0.04588660198546452
0.2709986423367951,1.9632309592721804,0.1636752422053051,0.6164369542887209,16.653321738961317,0.6895932603948606,0.0017038540124890672,0.7229387073964944,0.9424783082415676,0.859800110164278,19.063292291525276,0.0015951374451143553,0.043084295168186244
0.2567140623074722,2.2332833760906374,0.14952827532024426,0.5541062370250471,22.04833500344118,0.6700411475282831,0.00899672196685659,0.732489636790328,0.9428868632606561,0.8458503695356957,18.65230078002562,0.001507574560304483,0.03753477323477733
0.21853016398123917,2.378407010126683,0.19217339064779176,0.7466062919527124,8.725431016200016,0.9328711478402234,0.0020537625508392178,0.7945295211917714,0.9364954626173844,0.8504183711357619,18.233994046394688,0.0016330681646452377,0.03472236344799325
0.17955480434873627,1.1307850315558325,0.0251297784030054,0.6917405246095852,17.93642407239638,0.36062664746601514,0.010024079892486364,0.6207746054139938,0.9432548630925038,0.8444958900769018,21.652055685431314,0.0016684793826872233,0.014074195277788538
0.24505772477471133,1.6267710151633321,0.040116012527798374,0.7091632266450648,21.928070840510347,0.523461765712978,0.010130217413099468,0.6264057695778034,0.943357420448556,0.8376021256502123,18.667269383008897,0.0014240746277325773,0.025900482642233345
0.26735395924360167,1.8342057640295741,0.10815273825843115,0.7996752343071308,22.42149236694849,0.6733525177872848,0.0017260328060548793,0.6728867359031808,0.9424715047497851,0.8605798443237835,18.38553608289416,0.0016024631553519094,0.037326562442779494
0.25693332186312456,2.2196453456352963,0.19067951907651878,0.4221296629884867,9.680119094508015,0.572265840243133,0.03698986259854443,0.8258966371184345,0.9377126897860883,0.8661358090371519,20.561236351353493,0.0019996078355296303,0.04411675887181232
0.28549816301848735,2.2193348787294287,0.1978345069009232,0.5910509146728303,9.437324036726414,0.6646717029144001,0.035274680838105116,0.8237728272686653,0.9376025132957557,0.8522286397409197,18.276397670749542,0.0017269183047031404,0.03978889724134356
0.2785238534235955,2.306846127161808,0.17086113929717495,0.5862524416900736,24.259301298035307,0.692643798329612,0.0013400812929679183,0.7155927381787215,0.9424633675552472,0.8599178851756142,21.393502936400868,0.0013011091848407715,0.03580416473976035
0.17852467631570854,1.2916447873769905,0.04260849973420755,0.6282471433702713,18.059906332567127,0.48532071752492345,0.009884370872170645,0.5895384970058402,0.9433281143728734,0.8420317856472651,21.066120559568727,0.0015717700360493715,0.03922766004021309
0.23250344529587014,1.3417585812436328,0.07546328977823627,0.7726694554372202,20.869212490154645,0.34769686949972106,0.012510185016236533,0.6622706399323955,0.9434158802681539,0.8222814004633955,18.790062883396764,0.0015307157065799926,0.03890411951542359
0.24403051767047648,1.9696771613283983,0.15354662282367368,0.5949536958781022,11.399407620966713,0.6986441282199982,0.013923889231665558,0.822545454350486,0.9382181178010575,0.8343844891446882,21.603227683084672,0.0020291919506180787,0.026750110838813644
0.2731679862056926,2.5285613525687047,0.09580006184558312,0.5697848360382763,19.949813103125756,0.7988238443772203,0.0010281090057781864,0.6559457880737045,0.9337720864422455,0.7742100513691854,19.304724712254057,0.00113537847517432,0.04084156281191065
0.27056427664833066,2.338483047574596,0.16498579363240914,0.6461895827825413,25.492618308110508,0.7236807757633573,0.0009847558509993883,0.684379621981064,0.9424914739742444,0.8595580494840604,19.032815020066614,0.0010458592160802712,0.028118061836173176
0.2532208481632003,1.935124832780625,0.17350712125505796,0.703963606271722,14.944033496287195,0.8466966319172754,0.0010103313688492768,0.72440256777808,0.9423777229132946,0.861405493805014,21.657848245011763,0.001665331786939473,0.03726630936876325
0.2685892246957565,1.9996704566503831,0.08824957578380953,0.6972453057955036,27.90105937420669,0.7301492522299953,0.0015498278040455078,0.6146342996836313,0.933749445041968,0.7753610413106355,18.11120800367491,0.0011485225680988266,0.017880929547478767
0.18994364733518534,1.8228184980450886,0.18213802958740435,0.9217297564570548,15.124819451765582,0.8041775192294446,0.00021894458708562566,0.70622916801216,0.9363898290122019,0.841905709225527,18.27797221826164,0.001654300379319545,0.02197820899858871
0.21872496930236449,1.1786853407281863,0.05330362485328746,0.7732183171971933,14.402072058878483,0.573904273147229,0.006130676432126225,0.6414790702129728,0.943431129553155,0.8305111147997408,21.081018873835347,0.0017457265512349756,0.031201791378951
0.24738650428898326,2.664610432398507,0.1452833826294328,0.46471708594788935,17.488598949080036,0.8124172141879068,0.00819244812119838,0.7468805115923505,0.9430000333018752,0.8603400515448222,21.032808682510517,0.0012674174874535795,0.018725058730202075
0.26659056093028677,1.4303423610027046,0.05722456463762298,0.6133119634944307,17.086059678390857,0.5768881254840449,0.0016951800031360118,0.693514677174436,0.9336744729268457,0.771622089053296,20.72763627554698,0.0015647215686910537,0.0336567276137347
0.25600572090740215,1.5416371391838384,0.14745367085760241,0.680323532524739,12.771672859213979,0.6684838823576089,0.012730483487351918,0.7485484257690274,0.9427781444602671,0.8548636531622702,21.018278755359294,0.0016633812876918988,0.020525068509548387
0.22846900647589918,2.0778406774941853,0.11953640729140146,0.682887430190308,14.152283283602618,0.8590620945616514,0.0009497205933659134,0.7234932843056585,0.9425740842221831,0.8612441520429002,20.334511647241236,0.0016929419854647125,0.01309720079836316
0.25499998972065996,2.13835186850296,0.1580317163253726,0.46125090077702147,12.277738017617612,0.68468421435103,0.012718645792401511,0.8433938980703463,0.942834103921685,0.8566329723395841,21.952299081477364,0.0017006157163870733,0.036658102669766546
0.2291281049815922,2.063301254514521,0.175736189857799,0.7580045567443466,18.833801267997774,0.8313994832963035,0.0006096640670562543,0.6874877777725164,0.9425809306343294,0.8659177555511818,21.978438898600672,0.0015077488296703974,0.03750237796609134
0.250634182064332,2.2721360758060185,0.15706752776127858,0.48631232966292054,13.704179485835724,0.6920162729231674,0.010428180375080543,0.78853791842368,0.9427587954164949,0.8566092804771502,21.080737219450263,0.0016016431083418921,0.03200189716285904
0.249024486155089,2.7115628188802807,0.16646856949813338,0.402695781567019,13.942561181475565,0.670751236275279,0.00898938952399499,0.7848006062185374,0.9428500686534554,0.8444605243349715,18.893648533834902,0.0012632117052720129,0.045085884768302685
0.24426625558422604,1.2977048896511474,0.10581434321755251,0.6688119983858525,11.569085272950636,0.6227086807556877,0.008222860243112797,0.7597719670260187,0.9429937806661562,0.8654757923774055,20.352344939445608,0.0018154466732966796,0.03133319917506227
0.21298005174811893,2.545289573676939,0.18809359446268384,0.42400723722764294,18.283894869902582,0.6142606502353611,0.024657580118163457,0.7515707544419791,0.9379306525664443,0.8205594078644389,18.824169623703792,0.0016305211792982503,0.03891050623196654
0.253461738048913,1.8441626410903729,0.15930298012505725,0.751071478749564,21.550898582797814,0.6786636923727024,0.008021675379987062,0.7067416774853577,0.9427507243001484,0.8468503489199034,19.021199340053666,0.00157517431908932,0.04015976039880175
0.2482749994936906,2.137474055264111,0.14362012035645705,0.4948394250092341,15.929844321408352,0.7531781981016341,0.009896016513524265,0.7535167927413187,0.942776569546506,0.8546155707034836,20.55499988638043,0.0017858648362747388,0.04375184352070253
0.26959782054636433,2.3921395796497325,0.19909510768087602,0.5984094107323427,17.51650468014836,0.7829327787194864,0.000930352309757403,0.7621993875650768,0.9424906408901055,0.8610816200066012,18.707975490648344,0.001593414076667705,0.039957836720298325
0.27088193122133225,1.9494096272230952,0.15745269005571888,0.796829594380952,28.010870750791817,0.7256464274210558,0.0004002550475846174,0.651909444835551,0.9425475770147905,0.8609444908430223,20.231832110428446,0.0014143700386827739,0.042478487279374234
0.26713469964759684,1.8034223123417468,0.13920060897123016,0.9159196948123755,17.144601007294106,0.8279517323058377,0.003007115314714804,0.6955639577501492,0.9425470330271418,0.8578495113092808,20.106559544466254,0.0015737405134882904,0.038037421675925984
0.26800972360240394,2.2543761610319044,0.19015791184841493,0.6907456902150957,15.391693142436928,0.7618303520622713,0.0019260977962626104,0.7316962673075642,0.9423991268340706,0.859715973504061,18.008632303340438,0.001936351496530751,0.024238154037750703
0.15599662362942257,2.1149716842521133,0.19294732958492342,0.49859202692477655,5.572872860808899,0.7780263645703716,0.022608218095188884,0.8616228897340223,0.9457489102211933,0.8565024889764778,18.17812961762273,0.0016547602915004311,0.024168449115056313
0.250575802972841,1.5165675442501028,0.08574831298291115,0.6888953949615987,20.545643224578914,0.5785029226077943,0.0074666564347144766,0.6408646076639855,0.9431875103658316,0.8265908181484245,21.86032219352639,0.0017255782298781766,0.018450857381574495
0.27115343878383485,1.7635310152485824,0.05660188361777435,0.7508346176991498,24.27542895987874,0.6700675768304903,0.008486978431330472,0.5433764995599678,0.943155903123536,0.8431591584649339,20.964819265584154,0.0014224332075992384,0.017878011722461656
0.23718720375139482,1.5048449436809237,0.047983801539829354,0.5109130279515659,22.145066257363993,0.4033038067400633,0.011313030848785741,0.6383259593792441,0.9433143352728027,0.8360324997251726,20.35208400828603,0.001649712464090525,0.023143736827975596
0.20528952183156737,1.4819608264979385,0.07504424834353894,0.7426684657850233,25.290015626165864,0.5554404676186265,0.00732268056130954,0.6338669082734302,0.9432882065796082,0.8333600377106429,20.56435097830512,0.001406805366102178,0.03039762554525784
0.2406569022789381,1.9554255173209658,0.15256360501747857,0.544212673514922,16.094393992910863,0.6346668372229514,0.011238882753206458,0.7209568192321653,0.9428367995304071,0.8459307893028144,18.01022384513301,0.0017287155107272405,0.041445841373446285
0.2516857444876565,1.5295878976472934,0.02588924004439169,0.6925673114396311,22.49149369139867,0.516938012572443,0.008666482217352344,0.5638326026456216,0.9432335501922537,0.8398200601951342,18.412809674259183,0.0017273239479754807,0.022340617912937368
